Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,895.5991488,945.6869299,940.476299,1039.408242,1095.655628,1245.059223,1283.040986,1525.517054,1629.16729,1712.58872,1933.396262,1938.330862
Albania,ALB,2011.846695,1921.168175,2168.8916,2413.669178,2809.021861,3140.044758,2865.514603,3177.498651,3684.954274,4045.762083,4508.643166,4785.892827,5182.503195,5652.616664,6199.928073,7071.089751,7659.173793,8769.117112,9345.0975,9297.489638,9640.130812,9647.320246,9821.673031
Algeria,DZA,6624.910108,6738.867256,6607.239948,6551.303664,6811.840962,7095.978293,7180.636561,7515.801851,7765.025543,8007.874121,8457.850475,8955.189049,9669.131034,10228.85465,11029.44152,11396.62844,11916.71707,12197.99926,12278.91406,12649.67227,13026.19166,13433.36187,13741.20445
American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6949.021848,..,..
Antigua and Barbuda,ATG,11594.57506,11766.78311,12415.41251,13141.20213,12516.60041,13236.87073,13732.76683,14108.11207,14554.48083,15312.5665,14907.07263,15372.57819,16426.92431,17593.87624,19067.0683,22040.91366,24503.84487,24723.11189,21671.37575,20151.30987,19987.92414,20946.70084,20969.5527
Argentina,ARG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Armenia,ARM,2223.444263,1347.491008,1287.955107,1419.992742,1581.73379,1731.807416,1840.696008,2012.338894,2123.61324,2313.331946,2605.771618,3007.219393,3510.316808,3998.143137,4716.243273,5526.092806,6483.504649,7097.912173,6158.301452,6376.268217,6803.482997,7398.453073,7720.570605
Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36015.07046,..,..
Australia,AUS,17804.3095,18197.44862,19136.44637,20061.91707,20962.1194,22016.34174,22935.37611,24218.74674,25268.51981,26331.65409,27384.12124,28685.30614,29684.59242,31309.60854,32559.45929,34310.09018,36539.16476,37479.28912,40205.02665,39118.69316,41763.11851,43098.6922,43306.47833
Austria,AUT,20650.17536,21327.06043,21769.22971,22679.0925,23733.46182,24598.01091,25551.72364,26741.89161,27752.71775,29574.16656,29849.37433,31261.55163,32199.27398,33809.75076,34691.20896,37649.52898,39238.3032,41151.58504,40633.38422,41863.85146,44022.39527,44850.3865,45121.12002
Azerbaijan,AZE,5558.818413,4334.433664,3361.035497,2719.340227,2420.444864,2471.585879,2634.158631,2901.351672,3136.093893,3534.329148,3942.084882,4393.967199,4945.907916,5551.448842,7169.150431,9830.162606,12477.38469,13799.78614,14900.50866,15627.60562,15754.15236,16173.44728,17142.75996
"Bahamas, The",BHS,15253.25583,14721.34013,14837.44668,15361.95338,16120.83741,16888.93198,17338.20097,18157.7265,19515.95658,20486.83736,21131.6689,21606.43716,21304.66135,21619.39465,22602.88621,23417.23436,23928.02132,23397.81577,22196.81949,22431.13764,22665.16756,23224.10902,23235.11389
Bahrain,BHR,25588.16568,27222.92149,30697.4636,30505.92267,31529.02204,32494.62222,33048.3316,33861.90576,34579.99318,35792.04549,36005.75474,36288.46741,37374.89557,38724.49061,39770.76082,40220.94274,40979.87158,40843.84606,39343.22549,39423.65129,39676.71702,40973.70867,43320.2923
Bangladesh,BGD,871.0798766,918.4548687,963.3034791,1000.283763,1050.6545,1094.567693,1138.934299,1185.987717,1235.147515,1304.442358,1375.759114,1424.312233,1495.529221,1591.404389,1724.427708,1871.000135,2031.778522,2171.629728,2273.164201,2401.71874,2579.335048,2763.5107,2937.40381
Barbados,BRB,8499.596787,8174.755356,8402.720669,8720.635516,9053.49151,9555.750931,10135.93055,10585.96971,10742.94385,11443.57652,11386.82975,11622.64182,12073.39022,12540.47317,13421.01435,14563.9997,15144.58071,15444.69153,14872.86448,15036.36253,15401.54965,15665.96689,15847.45137
Belarus,BLR,5331.205325,4918.655385,4642.519116,4191.496264,3846.321048,4039.674256,4596.67258,5060.880441,5331.032663,5785.87425,6245.425114,6703.775792,7369.828474,8497.621267,9662.054244,11022.0864,12345.10559,13917.75675,14082.53828,15385.45927,16603.38953,17210.43921,17650.67857
Belgium,BEL,19997.10209,20681.92042,20888.55019,21953.71799,22898.07681,23296.13541,24322.00629,24844.24067,25922.82496,28285.85588,29190.96151,30767.29975,31049.29839,31984.16724,33042.89928,35093.15386,36583.33069,37846.95559,37641.50034,39142.07962,40858.72517,41316.98477,41305.16239
Belize,BLZ,3740.84822,4216.167551,4510.941425,4521.258503,4526.680461,4528.313715,4598.357259,4640.374318,4937.771618,5517.29757,5747.649582,5965.83771,6481.168668,6793.409557,7010.103191,7362.319907,7445.858542,7638.380094,7559.677016,7717.448532,7857.224198,8118.875623,8183.618392
Benin,BEN,978.0410579,992.4465664,1036.023937,1041.32595,1089.854787,1122.000574,1171.559489,1196.354532,1242.716676,1305.034602,1361.728492,1400.049756,1428.792779,1483.357743,1507.891161,1565.55691,1651.808665,1714.280209,1716.207268,1723.796926,1761.574331,1825.96898,1928.380367
Bermuda,BMU,26261.12594,27038.87672,28362.56613,28938.43927,30621.69158,31787.7791,33613.37247,35044.95134,36579.56343,40535.20826,43976.09251,43706.03474,45797.32036,47835.43923,49877.28411,53949.42371,56640.989,58288.61209,55320.16171,55254.21412,54984.51039,53073.28232,52347.4971
Bhutan,BTN,1554.096666,1683.413124,1788.995889,1945.527046,2136.988247,2281.496675,2405.159108,2514.284088,2681.770229,2850.815991,3064.827799,3344.159882,3564.723225,3770.094685,4060.201675,4365.935906,5172.726954,5418.202026,5717.165737,6354.393934,6882.688407,7248.09903,7404.916748
Bolivia,BOL,2555.468852,2604.909301,2726.41054,2857.412262,2993.810158,3119.281545,3264.944963,3399.253115,3399.735758,3497.279475,3570.0555,3647.572088,3753.050849,3946.709016,4180.320068,4438.619391,4684.928029,4986.848846,5108.846894,5298.08291,5598.566773,5897.068622,6292.622645
Bosnia and Herzegovina,BIH,..,..,..,918.6232022,1165.833786,2283.546636,3147.218636,3681.034345,4086.962647,4399.990342,4689.779943,5002.825002,5294.223314,5758.71554,6228.991612,7154.583241,7855.209503,8616.898534,8523.644754,8770.406133,9265.015888,9369.886558,9544.660927
Botswana,BWA,5647.625684,5780.599237,5871.119852,6057.043713,6462.090383,6810.135489,7328.001672,7317.558437,8003.46657,8212.672296,8296.887363,8814.832844,9283.020404,9661.290445,10268.51467,11277.62387,12310.67996,13082.00208,11934.06089,12854.16489,13634.26789,14255.47804,15499.13933
Brazil,BRA,6854.152303,6867.094693,7245.008936,7674.839164,8055.56897,8253.059803,8544.817088,8534.87806,8575.391105,9017.794222,9203.418953,9492.031083,9661.94845,10349.31311,10880.5558,11527.63612,12409.41574,13152.49026,13091.27123,14117.25862,14830.89956,15220.22867,15726.48814
Brunei Darussalam,BRN,51601.09373,53739.04461,53660.55336,55010.77154,57164.33009,58410.4211,57157.09876,56162.45612,57503.09719,59253.67743,61062.58217,63217.42997,65178.52895,66146.07321,67366.83381,71257.33161,72032.38932,70824.08444,68962.85521,70486.33306,73265.12163,74160.90681,72871.43698
Bulgaria,BGR,5167.953843,4954.276015,5037.091803,5255.628645,5543.335239,5282.907059,5408.928249,6123.137815,5778.977893,6346.022638,6893.673917,7760.377767,8385.889978,9158.034198,10124.00268,11447.95536,13320.5627,14934.79129,14875.60326,15073.86724,15603.0255,15965.37776,16062.76331
