,Country,Date of Admission to UN
0,Afghanistan,19-11-1946
1,Albania,14-12-1955
2,Algeria,1962-08-10
3,Andorra,28-07-1993
4,Angola,1976-01-12
5,Antigua and Barbuda,1981-11-11
6,Argentina,24-10-1945
7,Armenia,1992-02-03
8,Australia,1945-01-11
9,Austria,14-12-1955
10,Azerbaijan,1992-02-03
11,Bahamas,18-09-1973
12,Bahrain,21-09-1971
13,Bangladesh,17-09-1974
14,Barbados,1966-09-12
15,Belarus,24-10-1945
16,Belgium,27-12-1945
17,Belize,25-09-1981
18,Benin,20-09-1960
19,Bhutan,21-09-1971
20,Bolivia (Plurinational State of),14-11-1945
21,Bosnia and Herzegovina,22-05-1992
22,Botswana,17-10-1966
23,Brazil,24-10-1945
24,Brunei Darussalam,21-09-1984
25,Bulgaria,14-12-1955
26,Burkina Faso,20-09-1960
27,Burundi,18-09-1962
28,Cabo Verde,16-09-1975
29,Cambodia,14-12-1955
30,Cameroon,20-09-1960
31,Canada,1945-09-11
32,Central African Republic,20-09-1960
33,Chad,20-09-1960
34,Chile,24-10-1945
35,China,24-10-1945
36,Colombia,1945-05-11
37,Comoros,1975-12-11
38,Congo,20-09-1960
39,Costa Rica,1945-02-11
40,Cte D'Ivoire,20-09-1960
41,Croatia,22-05-1992
42,Cuba,24-10-1945
43,Cyprus,20-09-1960
44,Czech Republic,19-01-1993
45,Democratic People's Republic of Korea,17-09-1991
46,Democratic Republic of the Congo,20-09-1960
47,Denmark,24-10-1945
48,Djibouti,20-09-1977
49,Dominica,18-12-1978
50,Dominican Republic,24-10-1945
51,Ecuador,21-12-1945
52,Egypt,24-10-1945
53,El Salvador,24-10-1945
54,Equatorial Guinea,1968-12-11
55,Eritrea,28-05-1993
56,Estonia,17-09-1991
57,Ethiopia,13-11-1945
58,Fiji,13-10-1970
59,Finland,14-12-1955
60,France,24-10-1945
61,Gabon,20-09-1960
62,Gambia,21-09-1965
63,Georgia,31-07-1992
64,Germany,18-09-1973
65,Ghana,1957-08-03
66,Greece,25-10-1945
67,Grenada,17-09-1974
68,Guatemala,21-11-1945
69,Guinea,1958-12-12
70,Guinea Bissau,17-09-1974
71,Guyana,20-09-1966
72,Haiti,24-10-1945
73,Honduras,17-12-1945
74,Hungary,14-12-1955
75,Iceland,19-11-1946
76,India,30-10-1945
77,Indonesia,28-09-1950
78,Iran (Islamic Republic of),24-10-1945
79,Iraq,21-12-1945
80,Ireland,14-12-1955
81,Israel,1949-11-05
82,Italy,14-12-1955
83,Jamaica,18-09-1962
84,Japan,18-12-1956
85,Jordan,14-12-1955
86,Kazakhstan,1992-02-03
87,Kenya,16-12-1963
88,Kiribati,14-09-1999
89,Kuwait,14-05-1963
90,Kyrgyzstan,1992-02-03
91,Lao PeopleÕs Democratic Republic,14-12-1955
92,Latvia,17-09-1991
93,Lebanon,24-10-1945
94,Lesotho,17-10-1966
95,Liberia,1945-02-11
96,Libya,14-12-1955
97,Liechtenstein,18-09-1990
98,Lithuania,17-09-1991
99,Luxembourg,24-10-1945
100,Madagascar,20-09-1960
