ISO-3166,Country,Date of Admission to UN
AFG,Afghanistan,19-11-1946
ALB,Albania,14-12-1955
DZA,Algeria,10-08-1962
AND,Andorra,28-07-1993
AGO,Angola,12-01-1976
ATG,Antigua and Barbuda,11-11-1981
ARG,Argentina,24-10-1945
ARM,Armenia,03-02-1992
AUS,Australia,11-01-1945
AUT,Austria,14-12-1955
AZE,Azerbaijan,03-02-1992
BHS,Bahamas,18-09-1973
BHR,Bahrain,21-09-1971
BGD,Bangladesh,17-09-1974
BRB,Barbados,12-09-1966
BLR,Belarus,24-10-1945
BEL,Belgium,27-12-1945
BLZ,Belize,25-09-1981
BEN,Benin,20-09-1960
BTN,Bhutan,21-09-1971
BOL,Bolivia (Plurinational State of),14-11-1945
BIH,Bosnia and Herzegovina,22-05-1992
BWA,Botswana,17-10-1966
BRA,Brazil,24-10-1945
BRN,Brunei Darussalam,21-09-1984
BGR,Bulgaria,14-12-1955
BFA,Burkina Faso,20-09-1960
BDI,Burundi,18-09-1962
CPV,Cabo Verde,16-09-1975
KHM,Cambodia,14-12-1955
CMR,Cameroon,20-09-1960
CAN,Canada,11-09-1945
CAF,Central African Republic,20-09-1960
TCD,Chad,20-09-1960
CHL,Chile,24-10-1945
CHN,China,24-10-1945
COL,Colombia,11-05-1945
COM,Comoros,11-12-1975
COG,Congo,20-09-1960
CRI,Costa Rica,11-02-1945
CIV,Cote D'Ivoire,20-09-1960
HVR,Croatia,22-05-1992
CUB,Cuba,24-10-1945
CYP,Cyprus,20-09-1960
CZE,Czech Republic,19-01-1993
PRK,Democratic People's Republic of Korea,17-09-1991
COD,Democratic Republic of the Congo,20-09-1960
DNK,Denmark,24-10-1945
DJI,Djibouti,20-09-1977
DMA,Dominica,18-12-1978
DOM,Dominican Republic,24-10-1945
ECU,Ecuador,21-12-1945
EGY,Egypt,24-10-1945
SLV,El Salvador,24-10-1945
GNQ,Equatorial Guinea,11-12-1968
ERI,Eritrea,28-05-1993
EST,Estonia,17-09-1991
ETH,Ethiopia,13-11-1945
FJI,Fiji,13-10-1970
FIN,Finland,14-12-1955
FRA,France,24-10-1945
GAB,Gabon,20-09-1960
GMB,Gambia,21-09-1965
GEO,Georgia,31-07-1992
DEU,Germany,18-09-1973
GHA,Ghana,03-08-1957
GRC,Greece,25-10-1945
GRD,Grenada,17-09-1974
GTM,Guatemala,21-11-1945
GIN,Guinea,12-12-1958
GNB,Guinea Bissau,17-09-1974
GUY,Guyana,20-09-1966
HTI,Haiti,24-10-1945
HND,Honduras,17-12-1945
HUN,Hungary,14-12-1955
ISL,Iceland,19-11-1946
IND,India,30-10-1945
IDN,Indonesia,28-09-1950
IRN,Iran (Islamic Republic of),24-10-1945
IRQ,Iraq,21-12-1945
IRL,Ireland,14-12-1955
ISR,Israel,05-11-1949
ITA,Italy,14-12-1955
JAM,Jamaica,18-09-1962
JPN,Japan,18-12-1956
JOR,Jordan,14-12-1955
KAZ,Kazakhstan,03-02-1992
KEN,Kenya,16-12-1963
KIR,Kiribati,14-09-1999
KWT,Kuwait,14-05-1963
KGZ,Kyrgyzstan,03-02-1992
LAO,Lao People’s Democratic Republic,14-12-1955
LVA,Latvia,17-09-1991
LBN,Lebanon,24-10-1945
LSO,Lesotho,17-10-1966
LBR,Liberia,11-02-1945
LBY,Libya,14-12-1955
LIE,Liechtenstein,18-09-1990
LTU,Lithuania,17-09-1991
LUX,Luxembourg,24-10-1945
MDG,Madagascar,20-09-1960
MWI,Malawi,12-01-1964
MYS,Malaysia,17-09-1957
MDV,Maldives,21-09-1965
MLI,Mali,28-09-1960
MLT,Malta,12-01-1964
MHL,Marshall Islands,17-09-1991
MRT,Mauritania,27-10-1961
MUS,Mauritius,24-04-1968
MEX,Mexico,11-07-1945
FSM,Micronesia (Federated States of),17-09-1991
MCO,Monaco,28-05-1993
MNG,Mongolia,27-10-1961
MNE,Montenegro,28-06-2006
MAR,Morocco,11-12-1956
MOZ,Mozambique,16-09-1975
MMR,Myanmar,19-04-1948
NAM,Namibia,23-04-1990
NRU,Nauru,14-09-1999
NPL,Nepal,14-12-1955
NLD,Netherlands,12-10-1945
NZL,New Zealand,24-10-1945
NIC,Nicaragua,24-10-1945
NER,Niger,20-09-1960
NGA,Nigeria,10-07-1960
NOR,Norway,27-11-1945
OMAN,Oman,10-07-1971
PAK,Pakistan,30-09-1947
PALAU,Palau,15-12-1994
