Country Name,Country Code,YR2000,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013
Afghanistan,AFG,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648,2.067824648
Albania,ALB,28.07664234,28.51021898,28.46569343,28.42116788,28.37664234,28.33211679,28.29708029,28.2620438,28.2270073
Algeria,DZA,0.662960693,0.676984054,0.709061442,0.741138831,0.77321622,0.805293609,0.808484553,0.811675498,0.814866442
American Samoa,ASM,90.25,89.25,89.05,88.9,88.75,88.55,88.4,88.2,88.05
Andorra,ADO,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319
Angola,AGO,47.90887944,47.30825379,47.20814951,47.10804524,47.00794096,46.90783669,46.80773241,46.70762814,46.60752386
Antigua and Barbuda,ATG,22.72727273,22.27272727,22.27272727,22.27272727,22.27272727,22.27272727,22.27272727,22.27272727,22.27272727
Argentina,ARG,11.64180086,10.91391425,10.79771549,10.68151672,10.56531796,10.44911919,10.34066701,10.23221483,10.12376265
Armenia,ARM,11.69652266,11.65437302,11.64734809,11.64032315,11.63329821,11.62627327,11.63329821,11.64032315,11.64734809
Aruba,ABW,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333
Australia,AUS,16.77114927,16.499616,16.38428596,16.26895591,16.15362587,16.03829582,16.07838798,16.11848014,16.1585723
Austria,AUT,46.47614434,46.6553645,46.67829204,46.70008961,46.72584806,46.75330967,46.77907794,46.80881997,46.83573445
Azerbaijan,AZE,10.55384057,10.93239106,11.25077152,11.56837353,11.8864225,12.19875145,12.51566697,12.83287764,13.14992923
"Bahamas, The",BHS,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145,51.44855145
Bahrain,BHR,0.521126761,0.621621622,0.64,0.644736842,0.671052632,0.695538058,0.704041721,0.727272727,0.74025974
Bangladesh,BGD,11.27756011,11.15771683,11.13774295,11.11776907,11.09779519,11.07782131,11.05784743,11.03787355,11.01789967
Barbados,BRB,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279
Belarus,BLR,40.78584106,41.6737309,41.77033021,41.86692952,41.98008086,42.06012814,42.15612833,42.25420137,42.35227441
Belgium,BEL,22.03764861,22.31175694,22.35799207,22.40422721,22.45046235,22.49669749,22.51122853,22.52575958,22.54029062
