name,iso,series,series_code,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012,yr2013,yr2014
Argentina,ARG,extreme,EN.CLC.MDAT.ZS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.167189950512828,NULL,NULL,NULL,NULL,NULL
Argentina,ARG,freshwater,ER.H2O.INTR.PC,NULL,NULL,8676.23554422534,NULL,NULL,NULL,NULL,8148.69356489018,NULL,NULL,NULL,NULL,7706.63216136484,NULL,NULL,NULL,NULL,7305.49683845868,NULL,NULL,NULL,NULL,6936.6539063909,6864.4015520694,NULL
Argentina,ARG,precipitation,AG.LND.PRCP.MM,NULL,NULL,591.0,NULL,NULL,NULL,NULL,591.0,NULL,NULL,NULL,NULL,591.0,NULL,NULL,NULL,NULL,591.0,NULL,NULL,NULL,NULL,591.0,NULL,591.0
Argentina,ARG,arable_land,AG.LND.ARBL.ZS,9.71063584110732,9.74900335807125,9.78737087503517,9.82573839199909,9.86520212373342,9.90430045054427,9.94339877735513,9.98286250908945,10.0212300260534,10.0603283528642,10.0997920845985,10.1385250064859,10.180911977608,10.4810921222353,11.2453365196643,12.0209084697207,12.7358232024818,13.3127975766345,12.8845430063325,12.530465635494,13.8784443981598,14.1707683369326,14.5263073274649,14.5062100566743,NULL
Australia,AUS,extreme,EN.CLC.MDAT.ZS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.04709860649413,NULL,NULL,NULL,NULL,NULL
Australia,AUS,freshwater,ER.H2O.INTR.PC,NULL,NULL,28122.3206630466,NULL,NULL,NULL,NULL,26570.1787546579,NULL,NULL,NULL,NULL,25036.384176191,NULL,NULL,NULL,NULL,23622.5009122511,NULL,NULL,NULL,NULL,21647.0653663057,21274.877120288,NULL
Australia,AUS,precipitation,AG.LND.PRCP.MM,NULL,NULL,534.0,NULL,NULL,NULL,NULL,534.0,NULL,NULL,NULL,NULL,534.0,NULL,NULL,NULL,NULL,534.0,NULL,NULL,NULL,NULL,534.0,NULL,534.0
Australia,AUS,arable_land,AG.LND.ARBL.ZS,6.2351118805566,5.9487393098421,6.14399333532926,6.02684092003697,6.15701027036174,5.2194004399724,4.72306470718405,5.18998216679901,5.73461072855785,5.92661052028689,6.15753094776304,6.48334483162594,6.2219647761738,6.1231662392773,6.21467529255561,6.43062624474441,6.21103055074652,5.74567512333546,5.72471785793317,5.93780508441482,5.54104890462492,6.2062142847845,6.13266860185101,6.01629720266066,NULL
Brazil,BRA,extreme,EN.CLC.MDAT.ZS,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.482451027992547,NULL,NULL,NULL,NULL,NULL
Brazil,BRA,freshwater,ER.H2O.INTR.PC,NULL,NULL,36433.4927634916,NULL,NULL,NULL,NULL,33717.7359728545,NULL,NULL,NULL,NULL,31268.3669205268,NULL,NULL,NULL,NULL,29364.3907230498,NULL,NULL,NULL,NULL,27969.148699943,27714.7619029505,NULL
