countrycode,year,adolescent_fertility,elec_per_capita,gdp_ppp,have_good_sanitation,labor_force_participation,population_total,rural_pop_in_poverty,unemployment,inflation,population_65_up,refugees_by_origin,refugees_percapita
AGO,1991,228.006,58.1406852913,,22.8,71.0,11472173.0,,6.90000009537,,2.53827239181,381636.0,0.0332662347404
ALB,1991,18.2548,398.250270143,2011.84669479,78.2,65.0,3266790.0,,11.8000001907,,5.65673964825,3540.0,0.00108363255673
ARM,1991,77.0552,2684.57751789,2223.44426285,,68.0,3511912.0,,20.0,,6.06270886059,1.0,2.84745175847e-07
BEN,1991,126.0328,,978.041057941,7.3,72.5,5182525.0,,0.800000011921,,3.29138788525,4.0,7.71824544985e-07
BGD,1991,148.7078,49.0647474867,871.079876567,35.6,75.6999969482,108509679.0,,3.70000004768,6.35736412278,3.1707309723,611.0,5.63083409361e-06
BOL,1991,92.2178,281.300549544,2555.46885243,29.4,66.5999984741,6992521.0,,2.90000009537,21.4470698171,4.48311846328,67.0,9.58166589703e-06
BWA,1991,93.6652,796.423908772,5647.62568444,41.4,73.5999984741,1420098.0,,19.8999996185,11.765016084,2.65073255508,3.0,2.112530262e-06
CHL,1991,64.0348,1327.83647572,4887.03830505,85.5,54.0,13354054.0,,8.10000038147,,6.58746774575,14007.0,0.00104889496478
CHN,1991,18.5128,548.898138654,1091.44883056,48.6,78.8000030518,1150780000.0,,4.90000009537,,5.40984734158,2011.0,1.74751038426e-06
CIV,1991,152.054,145.62374459,2077.38742867,15.2,67.0999984741,12600967.0,,5.80000019073,1.68334849863,2.74036905263,13.0,1.03166685541e-06
CMR,1991,180.4404,187.766822568,1726.90194735,40.1,67.5999984741,12430311.0,,6.69999980927,0.0600513305004,3.51968667558,1.0,8.04485100976e-08
COG,1991,131.1484,182.847813887,3501.37114094,,66.5,2450125.0,,6.69999980927,-1.67834968957,3.7227080251,4.0,1.63256976685e-06
COL,1991,81.2934,842.288676759,5050.71925173,69.6,54.0999984741,34916770.0,,13.8999996185,30.3738164001,4.20120475061,740.0,2.11932547025e-05
CRI,1991,92.4632,1131.10559274,4869.36599573,88.7,58.4000015259,3175654.0,,5.59999990463,28.7093208307,4.77904708762,1.0,3.14895766352e-07
DOM,1991,113.4776,398.327950855,3519.13243604,73.4,64.4000015259,7325622.0,,19.8999996185,47.0791574105,4.04331536626,,
ECU,1991,86.1376,509.512103446,5083.4690205,58.4,62.0,10460988.0,,4.0,48.8038277512,4.29234791207,27.0,2.58101816004e-06
EGY,1991,81.1048,691.127038895,3968.7634303,74.5,47.5,57689828.0,,9.60000038147,19.7485448196,4.73338038033,97.0,1.68140560239e-06
ETH,1991,118.0092,21.8539777865,390.533475821,2.6,81.0999984741,49784987.0,,6.19999980927,35.7225982299,3.14435353774,251241.0,0.00504652135392
GAB,1991,184.9294,904.674869052,13234.6524565,,62.4000015259,978252.0,,21.6000003815,-11.6861126921,5.98925430257,,
GEO,1991,70.3532,2696.70588722,4195.46972601,97.8,64.9000015259,4835900.0,,13.3000001907,,9.72818974581,,
GHA,1991,106.7102,339.698842019,1312.51950158,7.3,71.3000030518,15042736.0,,8.19999980927,18.031439009,2.81428192318,4701.0,0.000312509639204
