CountryCode,Country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
AFG,Afghanistan,,,,,,,,2.5,,1.8,1.5,1.3,1.4,1.52,8.0,8.0,12.0
AGO,Angola,,,1.7,,1.7,1.8,2.0,2.0,2.2,2.2,1.9,1.9,1.9,2.01,22.0,23.0,19.0
ALB,Albania,,2.3,,,2.5,2.5,2.5,2.4,2.6,2.9,3.4,3.2,3.3,3.05,33.0,31.0,33.0
ARE,United Arab Emirates,,,,,,5.2,6.1,6.2,6.2,5.7,5.9,6.5,6.3,6.82,68.0,69.0,70.0
ARG,Argentina,3,3.0,3.5,3.5,2.8,2.5,2.5,2.8,2.9,2.9,2.9,2.9,2.9,3.0,35.0,34.0,34.0
ARM,Armenia,,2.5,2.5,,,3.0,3.1,2.9,2.9,3.0,2.9,2.7,2.6,2.63,34.0,36.0,37.0
AUS,Australia,8.7,8.7,8.3,8.5,8.6,8.8,8.8,8.8,8.7,8.6,8.7,8.7,8.7,8.84,85.0,81.0,80.0
AUT,Austria,7.5,7.6,7.7,7.8,7.8,8.0,8.4,8.7,8.6,8.1,8.1,7.9,7.9,7.79,69.0,69.0,72.0
AZE,Azerbaijan,,1.7,1.5,2.0,2.0,1.8,1.9,2.2,2.4,2.1,1.9,2.3,2.4,2.38,27.0,28.0,29.0
BDI,Burundi,,,,,,,,2.3,2.4,2.5,1.9,1.8,1.8,1.94,19.0,21.0,20.0
BEL,Belgium,5.4,5.3,6.1,6.6,7.1,7.6,7.5,7.4,7.3,7.1,7.3,7.1,7.1,7.49,75.0,75.0,76.0
BEN,Benin,,,,,,,3.2,2.9,2.5,2.7,3.1,2.9,2.8,2.97,36.0,36.0,39.0
BFA,Burkina Faso,,,3.0,,,,,3.4,3.2,2.9,3.5,3.6,3.1,3.05,38.0,38.0,38.0
BGD,Bangladesh,,,,0.4,1.2,1.3,1.5,1.7,2.0,2.0,2.1,2.4,2.4,2.66,26.0,27.0,25.0
BGR,Bulgaria,2.9,3.3,3.5,3.9,4.0,3.9,4.1,4.0,4.0,4.1,3.6,3.8,3.6,3.33,41.0,41.0,43.0
BHR,Bahrain,,,,,,6.1,5.8,5.8,5.7,5.0,5.4,5.1,4.9,5.11,51.0,48.0,49.0
BHS,Bahamas,,,,,,,,,,,,,,7.29,71.0,71.0,71.0
BIH,Bosnia and Herzegovina,,,,,,3.3,3.1,2.9,2.9,3.3,3.2,3.0,3.2,3.21,42.0,42.0,39.0
BLR,Belarus,3.9,3.4,4.1,,4.8,4.2,3.3,2.6,2.1,2.1,2.0,2.4,2.5,2.42,31.0,29.0,31.0
