countrycode,countryname,y1960,y1961,y1962,y1963,y1964,y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014
ABW,Aruba,43.8477715466352,43.3606927031659,42.928538398605596,42.4890205830996,41.9540935313612,41.288354253835394,40.6899778209038,39.905941532153896,39.0117324655305,38.1343232749813,37.316515703038995,36.089706921498,35.0114454711023,33.9896080612228,32.8657579512598,31.5769516115737,30.875241380448603,29.9092204220919,28.7325724553289,27.5417653139485,26.5159078807242,25.8275958855482,25.312989045383397,25.003215227316602,24.7855358023905,24.528780859300603,24.8659089457889,24.9777634026037,24.852235702473894,24.6428103290077,24.5494625732123,24.090494096529106,23.8088957279988,23.6889293497752,23.5971316818775,23.422055125364103,23.5639161007272,23.585380411249105,23.4898482973555,23.349512381466,23.1790266129565,22.918595388291997,22.624348649928894,22.277998247693702,21.8843045512548,21.4733432635883,21.2218585738372,21.071350945484,20.9863630084269,20.914845783702802,20.8096695768576,20.4343902056192,19.953512447139897,19.3944870337443,18.8358581220213
AFG,Afghanistan,42.170609151316796,42.4737518883092,42.64216849469361,42.73414988425289,42.8217290280404,42.9359264155353,43.260486591523104,43.5550218930232,43.8202926661755,44.0437033561884,44.2218335115681,44.5556098706884,44.807959377637204,44.9944163092678,45.1232193958322,45.185438967670095,45.446200134186896,45.6776123522853,45.866594386089204,45.9739872963596,45.9500695307965,46.220324610679,46.45926845667729,46.677511657007294,46.9292281811306,47.2965731991872,47.4603654584001,47.52411639089029,47.5705816082044,47.7122030510621,48.06516970690871,48.0294500731623,47.980565459713404,47.960503686800614,47.926085794633295,47.7971887590906,47.9888798636296,48.1865107992457,48.3438817425727,48.4598354275197,48.5636389106859,48.506061031135104,48.3474556965142,48.1316695937082,47.8814332857444,47.592498967620706,47.696333508910506,47.78680697055329,47.8252284946353,47.7666776894473,47.58934443193271,47.100417724677705,46.449243129172004,45.6852570683615,44.8709961512615
AGO,Angola,44.3130739593128,44.7417661846665,45.1749710249263,45.5603750614466,45.8046762439458,45.8736085272831,46.1733367806087,46.27186314688439,46.228215388683395,46.131709471951,46.0400773277888,46.2104387551659,46.307232309199286,46.35643457282471,46.372593807199,46.3681037080852,46.5896605634243,46.7381207574134,46.8342088952914,46.898067895386895,46.946912730837404,47.2064086044281,47.37361100088321,47.4726452034829,47.5132446888369,47.48811441601711,47.6845775512036,47.8087564575014,47.860426230528,47.850511302475795,47.801510980987395,47.937483160339404,47.9763010644553,47.947241014907895,47.871472017632506,47.754715178629894,47.86849544943379,47.91533291000901,47.9080062955896,47.8680258701849,47.820852058466386,47.95948875751139,48.033494859245,48.066282057311604,48.0712324014917,48.05057148066461,48.1778761087243,48.2480237211325,48.26597546820671,48.2332569188371,48.152587889681605,48.180026374632796,48.1279913206738,48.0125768278523,47.8503168544999
ALB,Albania,40.154909312284296,40.5407553587073,40.8996083780059,41.21180676368429,41.432396251673396,41.532019249785705,41.6421516532104,41.600144094021395,41.4365587241911,41.197728962397214,40.9099405654789,40.5412708216018,40.1790365074393,39.7900432740864,39.328767373043604,38.7846612661012,38.2960454288332,37.71030184652179,37.0803839267141,36.4810816779564,35.9488222821861,35.461986474022005,35.036715722578,34.6596801542239,34.310912292915305,33.987371574548895,33.7100949916853,33.4768829757514,33.2648329842631,33.0222681602467,32.6958819766731,32.8123750167153,32.854864187732396,32.812812047066394,32.7300156592586,32.6548486558362,32.127977894162896,31.6641934556541,31.237217594648598,30.786833784344697,30.2633117283506,29.636793783027606,28.922882048418398,28.114865200855302,27.2320522411863,26.2911025082312,25.2543562367307,24.2331647983675,23.223078234489893,22.2681018988452,21.4251229288017,20.609006898798,19.9280930423405,19.3822939907695,18.9304268021744
ARB,Arab World,43.1760796812111,43.538893292659104,43.856751335357714,44.11960392288999,44.306244368742,44.4079768316042,44.6150219496894,44.7041538527889,44.711171757364596,44.6729964380408,44.6039865014225,44.6417965965349,44.616950580851295,44.5473326578351,44.45599481145061,44.3631596289472,44.3104662291917,44.2556782624393,44.196468047258904,44.1184696473174,44.0108100287014,43.95736041741839,43.860829600735705,43.7329420293349,43.5906965199179,43.438584323818596,43.373442397352505,43.277601054868896,43.15602408994822,42.9995050843623,42.8407900835334,42.5839327292685,42.345592985383796,41.960328700131996,41.5129297015811,40.943700411559796,40.418889113838,39.8764122081591,39.321758547154495,38.7573783752903,38.1846589641388,37.6292364340632,37.0598708951539,36.4923385069809,35.9464615035821,35.436139519495796,34.9367883351553,34.4724278009581,34.0594082274775,33.711084536377,33.4337287664461,33.3277781274968,33.286410592599395,33.2877115026678,33.295211968896496
ARE,United Arab Emirates,44.7026303286831,43.5787493192058,42.2817177476835,40.946045233835896,39.6794964549269,38.546281882409296,37.50131924483321,36.692649361687295,36.0732170609567,35.531449141411706,35.0467646983868,32.9506468963512,30.992473825018802,29.4851667742011,28.583155584270802,28.277978033561396,27.3520981398631,26.879887777392,26.9576525814787,27.404958249892392,27.990271334564,28.6008335864343,29.323068131693606,30.129294882792397,30.9302354644851,31.634298036259494,31.8679974387438,31.820333366030503,31.579759390893106,31.1878218603051,30.6550855719537,29.8969260763437,29.107227587327298,28.2882873568458,27.456740239496302,26.6624173684533,26.328652370644107,25.958839713010807,25.731096617491602,25.6308881390533,25.5094868149796,23.827040599900894,22.162041920296,20.619460874544,19.2703872915747,18.1723864652555,16.857609999893597,15.6413869985524,14.6817558247352,13.9467359546647,13.340095682153402,13.4823638348192,13.602616999730401,13.718086482068903,13.8337747199333
ARG,Argentina,30.7256169348043,30.660281479395,30.5690633672562,30.449506043540698,30.2988403987515,30.1187130916217,29.975699228267693,29.803358168716606,29.6171709948978,29.4416010985685,29.294267874500107,29.2028479168194,29.1392872922715,29.1059416529028,29.1088753711565,29.1546717637931,29.3240704542516,29.5683545927132,29.852756874084395,30.1181020591645,30.326580312047806,30.624019605816606,30.7485217022052,30.772613534277106,30.7950758310903,30.8555515932015,30.759673855492306,30.7841805236102,30.8379027671041,30.7963823829851,30.6132129372247,30.4697245760669,30.180754808127602,29.806881152869806,29.4434181217181,29.1340335017602,28.867596019987,28.6253809758423,28.4063376048361,28.1952678851652,27.984826695995498,27.7340920247863,27.528150783319802,27.341836451687197,27.143053674453697,26.9188908628072,26.744328372357607,26.519503937750397,26.2737377624508,26.0513652893487,25.871955801239,25.698378821237398,25.570466141242104,25.4657425928406,25.3464271985317
ARM,Armenia,38.4340011438388,39.5172985344624,40.41210286838779,41.0892535694328,41.5256674865408,41.70231102442561,41.65628614547421,41.2915669220586,40.6817740490722,39.950170373355796,39.1772897798927,38.077619615528604,37.125718375586,36.2504361350451,35.3356503445696,34.3407003698264,33.511988736072304,32.5836971922424,31.670273005534202,30.9255118302654,30.4066985800462,30.098461959035397,29.9977105287802,30.036471833273,30.1061751046664,30.150185062233,30.214004900911608,30.2768773643686,30.3456918066373,30.3976041008039,30.3707653267771,30.3439550877129,30.238930487546398,30.0502155550405,29.793494902495304,29.4892331252465,28.9043226167311,28.239141880616497,27.4952633475942,26.6898849965415,25.860521998974,24.9015371060994,24.025506284520894,23.2368381185738,22.5300745344817,21.902692511933196,21.523829001842298,21.169820324973895,20.867225159822,20.6495178193107,20.514959358811396,19.9464013283091,19.437914891488198,19.013084721835998,18.6636812352261
ATG,Antigua and Barbuda,42.7424516742561,42.548237460065295,42.4286551473069,42.3389345976851,42.2119658119658,42.0163277622249,41.6570752079976,41.30995774329861,40.9490945928834,40.56168068795,40.127583411097,39.77056890470021,39.3304069637676,38.8351085741188,38.3045663098099,37.7283294586516,36.9665529792783,36.1206442333708,35.217280308617504,34.3146287188355,33.447603874767104,32.355555555555604,31.5373459028281,30.894081638659202,30.2783303172158,29.666585543927997,29.245414441606695,28.829311322538,28.659375099939197,28.955734503848802,29.696636836494,29.465487406268,29.4589652236971,29.5291977554418,29.526671675432,29.4195964827576,29.0938856858139,28.929006534499894,28.939708379376306,29.0737891400692,29.2190397692149,29.0596667173175,28.8316881169561,28.6104518936023,28.449056511417304,28.3279840125961,27.984712521116094,27.586288612154497,27.1505565319274,26.692931633835503,26.2331915674114,25.7974861602686,25.367973144416105,24.950825137522894,24.5544554455446
AUS,Australia,30.1820929142561,30.2536152998344,30.159532775492398,29.963241436925607,29.7603822583816,29.6015195622172,29.460540584035,29.3476132482228,29.2703199293326,29.1851513797376,29.0380371273855,28.7715890487355,28.5021038984789,28.2137868492103,27.87368674137,27.4618262834066,27.1706222346054,26.7024950011107,26.1535216201114,25.651989647134,25.257624543600198,24.7337582265132,24.4024475627047,24.1746350465268,23.914527046212697,23.567461629988603,23.352283469846697,23.0020966267515,22.5980071633113,22.2590520778577,22.0305425513876,21.825168658703397,21.7276309389227,21.690473360999107,21.6342220765378,21.5231034655888,21.4336015162946,21.2989692470215,21.137254849559106,20.9813583755718,20.8408943808819,20.6193369707646,20.4024467079029,20.189939273650104,19.982197070622497,19.790417238943398,19.5697824948846,19.384057426913106,19.242564510414105,19.1251448621978,19.0076570883464,18.9813218849073,18.8914938540354,18.7832946183069,18.711620303024002
