countrycode,countryname,y1960,y1961,y1962,y1963,y1964,y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014
ABW,Aruba,50.977715466351796,50.9623883827907,50.9675239213175,50.985060937968505,51.0056287152151,51.0233612273361,51.0344469087885,51.039638925735204,51.0473580542948,51.064300796948395,51.096249894184396,51.14573168679971,51.2072047987435,51.2707714271485,51.3225939694341,51.35273266837029,51.35585667365361,51.3351886823709,51.301034838452104,51.27046583747371,51.2546592119276,51.2589363844998,51.278038601982296,51.2941289949199,51.2883767566965,51.2470647965983,51.16691143605129,51.05361041481361,50.9193313358547,50.7848341853454,50.6725880157045,50.5887996533742,50.5356488605554,50.526911087202386,50.572359843546295,50.675995319074794,50.83718973496001,51.0445071213735,51.282139419771795,51.5212799424745,51.742279160888394,51.94092191099529,52.118532554344995,52.2661444106581,52.374875939316595,52.4407433695554,52.459585440840996,52.437313521310394,52.3909139349924,52.346769740474905,52.3233953758477,52.3269502432899,52.3522115769633,52.3926118090574,52.435687976721
AFG,Afghanistan,48.306614726987,48.396678867140004,48.4813092613989,48.560586389104394,48.63462486296911,48.7035595496408,48.7668887511392,48.8247593696352,48.8784117421194,48.9292696167846,48.9778930981359,49.0244611739727,49.0678333237745,49.1057527568693,49.1355361793336,49.155619578677594,49.1666082810701,49.169513205645714,49.1639999464551,49.1495059314797,49.125634716410296,49.0886112043597,49.0377082941732,48.979684577731504,48.9264898833243,48.8877776342853,48.874752392024796,48.883544194832,48.89114299799361,48.86531256678921,48.7897397736247,48.66183442598521,48.507445639086704,48.3654179998598,48.2702579028677,48.2341296079385,48.25848024802939,48.3272162283404,48.4124986224764,48.477699304879295,48.4998076331569,48.471075185230596,48.4078594396195,48.3381442023785,48.2944018791609,48.2936357077482,48.340387192228,48.42122961900871,48.51290907472771,48.5848186796694,48.617671702380285,48.6067507609644,48.5640383192232,48.5070903609549,48.4580889811546
AGO,Angola,50.9867300189495,50.9839328509916,50.9803774489311,50.976048760575296,50.9709389888383,50.9650174977559,50.958273187929294,50.9507648296589,50.942616451377106,50.934012204860004,50.9250878714052,50.915917233708896,50.9064465658224,50.8965269995104,50.885972325108796,50.874631753622396,50.863003369542206,50.8512368489812,50.83859445838671,50.8242295057314,50.807920165125196,50.789366847298496,50.7697237051421,50.7517372493538,50.7385347337055,50.7317698368501,50.7313367319453,50.7357876635084,50.743562957045405,50.752620462153594,50.761268778301705,50.7693093540343,50.7763754337824,50.7806946246958,50.7803584034544,50.7743048852129,50.7623011210659,50.7451092852069,50.723999856213595,50.7007370163354,50.67671458733521,50.6524183226518,50.6279386029383,50.60371526765739,50.5800468329912,50.5571055832146,50.5350196939649,50.513881244315904,50.49371162576261,50.474517598669,50.4562922238192,50.4390652646378,50.422818284277895,50.4074470187522,50.39282181703749
ALB,Albania,48.5203422380924,48.518388683558506,48.519058841132704,48.520859431242,48.52201892388571,48.521537345902786,48.5188311241584,48.514605780271594,48.5106241767916,48.50920888507029,48.51167254564071,48.518691758551206,48.5292669140073,48.541087832215005,48.551241124001294,48.557976036286895,48.5607493777234,48.5608663516648,48.5606247654894,48.563029977649094,48.5700113193684,48.587537367534196,48.615633456047796,48.644560300004905,48.6614235643216,48.6609305180432,48.62694972678421,48.57061207124129,48.541255351785296,48.6004218635081,48.78372477070371,49.1245445647269,49.60178830363271,50.126394247846896,50.555556616912405,50.776460242564,50.7312985562255,50.4621708659515,50.071030372252,49.705363113676995,49.46692227491339,49.3882864562611,49.4346984674261,49.5572890349674,49.67916313063071,49.74569881239589,49.739981204566405,49.684424559318714,49.6102123094609,49.5674234424138,49.5927644222734,49.7001049892412,49.8712971683294,50.073405956616796,50.25975230441061
ARB,Arab World,49.612960072977714,49.6095762568769,49.607410196916895,49.6062729700932,49.6058534469296,49.6057069396811,49.6057280208399,49.605315535485296,49.6030843676855,49.59744801717221,49.587326349204595,49.5731337924333,49.555240989701204,49.5325911191572,49.50402480447929,49.4693930548367,49.4282945129177,49.3825752522241,49.33676698198,49.2961228923491,49.2635877795631,49.2399034572721,49.22292767073521,49.209154494260204,49.1940141626309,49.1750404297919,49.152335086623296,49.127075939784,49.0989134430579,49.06727302847429,49.036235818837795,48.9957588041506,48.982952479329605,48.951214758797995,48.9317570099836,48.879275672765,48.88767041167149,48.9092197092642,48.934487863529704,48.951703091777105,48.95270549441871,48.9371831021124,48.90795924739321,48.86486507449389,48.8085351069365,48.7406067948139,48.6610283373166,48.5728817461644,48.4843811953027,48.4051131059622,48.3413211586098,48.2955658659439,48.2649095266465,48.2478384833179,48.242164263611095
ARE,United Arab Emirates,49.9676067896169,48.3071743328217,46.23039914468989,44.2155954510606,42.5987556070033,41.4215197115449,40.658194528082795,40.0923268580344,39.38708772232779,38.248771707934,36.699457172710794,35.0432475650531,33.5406965800493,32.2791472821643,31.2947507235346,30.586242270806494,30.042070505473,29.6514209745051,29.512662649233604,29.708412460652,30.240197327075702,31.101409924728397,32.1902808601293,33.3171348759628,34.241625646929805,34.813722709679,35.01567231578389,34.945631672603696,34.7136508739058,34.4472953659125,34.2209424673385,34.0230714147576,33.8245301914697,33.6401356666289,33.482569882869896,33.3497858898337,33.2257308955694,33.083206818689696,32.8933670352663,32.6256124774113,32.2567118494699,31.8609388523136,31.432826762048997,30.839583451698108,29.9793382453731,28.9171115597228,27.7608240166072,26.6964775960467,25.8800615987323,25.3810725251553,25.181221383925198,25.2390402350527,25.493507877427398,25.88395679724,26.3237443318884
ARG,Argentina,49.216892610361995,49.279144129605,49.34371905781,49.4097289107382,49.4758568467435,49.5411582143093,49.6067031047762,49.6728900989486,49.7374971696519,49.7975979996943,49.8518086675786,49.897174154519604,49.935955969729214,49.977678525392896,50.034652647809,50.1140159147734,50.2193381592047,50.3444584675961,50.475141967396,50.5924463951528,50.6837161421935,50.7449857175219,50.781705132053396,50.80227667269431,50.8186666934929,50.8390843318131,50.865437034197704,50.8947879322387,50.924540772495696,50.950659225164785,50.9705759960207,50.983912114025706,50.9924499220015,50.998360876425714,51.0045339858535,51.012884250462506,51.0241184259046,51.0373942710498,51.0511959495803,51.0633497756798,51.0724010093192,51.077958242169714,51.0807113210928,51.0816005700939,51.0819628752552,51.082716014470215,51.084098966726714,51.085738186555005,51.0871960825975,51.0878193222171,51.0871670158862,51.0851814074722,51.0820800003345,51.0780237030607,51.0732566797424
ARM,Armenia,51.74783495305761,51.663108850560896,51.583931434393705,51.5100508252645,51.4407663134146,51.375773932370215,51.3142026239549,51.2569964126237,51.207845872126704,51.171321909972804,51.1499725223236,51.1436347250216,51.149514425012,51.1640000827917,51.182525180779294,51.201493461681395,51.222461531737395,51.2452091957575,51.2629873320245,51.2677020420658,51.255208639478504,51.223709703310796,51.1789210796407,51.1334238080126,51.103727109358,51.1013740934436,51.126199797380295,51.1745549823636,51.24945911323339,51.354891157077,51.4937392356747,51.6689768991934,51.87895510562839,52.1145820380791,52.357442059026496,52.5860386643844,52.79415773178822,52.9727006054209,53.090211946322405,53.1102649798631,53.0090393739081,52.7897057420239,52.4671597234095,52.0467853590742,51.5375504546954,50.95871627643479,50.27641755388871,49.5208186292572,48.8539439447481,48.495604340772495,48.5913259204669,49.225400136927995,50.3091152484657,51.60437565503821,52.78452135186689
ATG,Antigua and Barbuda,52.941606773833705,53.0639135064888,53.0109570066239,52.8465346534653,52.6615384615385,52.5187333411564,52.426913084942,52.364439856778795,52.3284158541218,52.3053477848446,52.28625189309921,52.2792366366185,52.2862882226025,52.2847643147178,52.246740951132495,52.155141293518,51.999082858043614,51.7935719066403,51.572871163555895,51.3883180020694,51.27096342868521,51.234408602150495,51.2661348803481,51.3478913446541,51.446988618518496,51.539303966901905,51.62448726878721,51.70909205469089,51.778118903706506,51.809834266625785,51.7930410622557,51.7064026148818,51.5654065643031,51.43676388974529,51.407963936889495,51.52233390393421,51.801551711865606,52.1998560194927,52.621081853219394,52.947751870701296,53.1076138471049,53.0821050498911,52.9101586904911,52.657470582418696,52.41562446462221,52.2473202931024,52.1691207303485,52.1582520705712,52.190978324546,52.2317497103129,52.2543074295278,52.256329975496904,52.248256969315904,52.2320386731122,52.21452145214521
AUS,Australia,49.477270837074,49.5085475236522,49.541595814135285,49.5742928750447,49.60419685299,49.62971974604879,49.6499483884793,49.66569651534621,49.6792661510719,49.693762261077396,49.711401064413394,49.73185615764339,49.7546212511331,49.781201414679096,49.8132804872718,49.851432488806715,49.8970114171827,49.9483135569624,49.999210079964286,50.041641432823106,50.0703785196993,50.0834439800352,50.08366538692521,50.0765165533879,50.0695336316969,50.067978410292504,50.072212757678614,50.080546606273096,50.093347333172396,50.1106488222356,50.131962758795204,50.1587515233047,50.189837868214504,50.2191231376309,50.23868776047401,50.243512055601215,50.2310362183473,50.2042432843437,50.170336212045704,50.1392081720698,50.117492045297396,50.107985107838296,50.10787170592361,50.1114224265154,50.1105177635258,50.1000282032182,50.0782967168955,50.04882973352,50.0177676095869,49.9931054091533,49.9798830142117,49.9793921411372,49.9889814557179,50.004823711086104,50.0216130035818
AUT,Austria,53.409180492603205,53.3784504564956,53.3447339470684,53.3085035726577,53.2703343722047,53.2307255143795,53.1898285634163,53.1478707532135,53.1055268918579,53.063591905749995,53.022672138312,52.982766110630294,52.9438474924937,52.9063650450557,52.8708100052616,52.8373372374753,52.806067620937796,52.7764314575246,52.747006456802104,52.7159616339341,52.6819045106867,52.6441003749135,52.602604020552505,52.55783164612821,52.510556210876395,52.4612151230825,52.4107754681565,52.3587759224524,52.30263635660629,52.2389887035844,52.1660541374367,52.0832949179661,51.99332735471,51.901265766523714,51.813469281055,51.7342580736358,51.664174516118,51.6021696624537,51.548852410631895,51.5047081689635,51.46990069661921,51.4447243100743,51.4281615902403,51.4173071164787,51.4082505187502,51.3977290197354,51.386018188563796,51.37259389805679,51.352685272038,51.3204308101958,51.2724520751107,51.2060638502087,51.1242831125908,51.0363779170921,50.9550170507728
AZE,Azerbaijan,52.143403775736,52.04209293496739,51.9440161360682,51.8514202002872,51.7664334125943,51.689925168551504,51.622910554031705,51.5644550255396,51.511247174042595,51.459195275242394,51.4060592951937,51.3500345735948,51.293208306200285,51.2416255933113,51.2031107044831,51.1823043888471,51.180038175521,51.1925159735108,51.2139406481457,51.23661723075979,51.254804112271394,51.2685361825453,51.2783999595114,51.280454462839,51.2702894887193,51.245822100245,51.205079078521,51.1513516150899,51.094051748185215,51.0454165773984,51.0135864975044,50.999417798985604,50.999312836535594,51.010908193249904,51.030536559129715,51.0546653719061,51.0847731367944,51.1191222083799,51.1474374637659,51.156567280032505,51.1379765456946,51.088004267630794,51.0114787589642,50.918911416017295,50.824799109505214,50.73940274643311,50.6659961623789,50.60213783322129,50.545338427345705,50.4912427921511,50.437208437505795,50.3829417940611,50.3308505698406,50.283990643428496,50.246199834908
BDI,Burundi,51.727968881201704,51.69088588654671,51.654684212526504,51.6188095643944,51.5825757140623,51.546101796862295,51.5085708741521,51.4714578262045,51.439432191395795,51.4179258220504,51.4098324237594,51.4157144229676,51.4329207700992,51.4570108670169,51.4818619850198,51.5026009038369,51.516998976686004,51.525140348254006,51.52731104126579,51.52449895208351,51.5170321702616,51.50793469213311,51.4959893299614,51.4733497183733,51.430529274099904,51.3637511839536,51.2693284963685,51.155849344465715,51.0447330168789,50.9610182464857,50.91824702069661,50.9214715556004,50.959529143627215,51.010157808243,51.0445398066299,51.0442007812112,51.0043159969779,50.9341089032345,50.847062003218696,50.762828126304505,50.695714380501,50.6480324527259,50.6155098424312,50.597260044465706,50.5907568027777,50.5933606773602,50.6056166472177,50.6259264992346,50.6476062978113,50.6629286350107,50.667410623925285,50.659943855819996,50.64328645201,50.6216678280509,50.600553210451096
BEL,Belgium,51.0221088132099,51.034896009333494,51.043271371483,51.048306386454705,51.0514850465868,51.0539783834779,51.0559999224745,51.0576114736545,51.0596242173541,51.0629389104014,51.0681558557664,51.0756945805693,51.0853442679678,51.0962141318859,51.1070192436271,51.116797348676,51.125120254494114,51.13215868239511,51.138255806486214,51.143988190748786,51.149699764005696,51.155723088675,51.1616517816944,51.166193389451706,51.167607207947995,51.16479013137821,51.1572467195987,51.14577964416229,51.1321278473859,51.118756727748,51.107514841543704,51.098672618923395,51.091891321792495,51.087541688181496,51.0859010304878,51.086940905030296,51.09121904527579,51.098232285063,51.105627586225786,51.1102328500922,51.1098537451867,51.103121410805294,51.0908318525737,51.075529276381396,51.0608623585116,51.0491565730266,51.0409016827639,51.0344676188225,51.0274321131851,51.0164644934381,50.999032202992495,50.97593632086721,50.947635732627795,50.9111439828238,50.8627937092843
BEN,Benin,52.4329048124296,52.368895077944,52.30681774601789,52.246912026925294,52.1898713327833,52.1363719248127,52.0856036178359,52.0379008213064,51.996287677722215,51.9645183183614,51.94460082626921,51.9367645589196,51.9387358931333,51.946963319843796,51.9569031325334,51.9652867228795,51.970990294129294,51.9740917214362,51.974217133515204,51.9712400881136,51.96499538464521,51.9538716646879,51.9372074005019,51.9166935287708,51.8945390550552,51.8714387244263,51.8505589597798,51.8296417001163,51.7986073686738,51.745364167204286,51.66442690268129,51.552901336703606,51.4199477671634,51.2851953095611,51.1712703096049,51.09030619524201,51.0456877382285,51.027769319515,51.019744464708005,51.00039448164829,50.95684987666501,50.887362923386796,50.799906240862796,50.7036622056149,50.6102643561692,50.52717051628861,50.454935900859795,50.391099215550696,50.33563733315501,50.287988873909704,50.2474921128714,50.2143333874267,50.188023791935215,50.166465934887,50.147143713599704
BFA,Burkina Faso,49.102570128824304,49.2361956434242,49.3707367964801,49.5034028678047,49.630096107154294,49.7479453103064,49.8562979763764,49.9564104195754,50.0498524118335,50.1389247657273,50.22539392600039,50.3092666063177,50.390246054579286,50.4692110445567,50.547115219690504,50.6243187964413,50.70094422458779,50.7761054687677,50.847856777556295,50.913723258338,50.9718973330754,51.021952545669,51.064127910485496,51.098263470712794,51.12438263851229,51.142714875635214,51.1535944539504,51.15747076562921,51.154888296335706,51.146486088002995,51.132948883519106,51.114309360459394,51.091209359977896,51.0654989550873,51.0393124452839,51.01392722764879,50.9903151595677,50.9677444155285,50.943865641398105,50.915641704310296,50.8814308545941,50.8409593644872,50.79594115491489,50.7491386857437,50.7040161608359,50.662836914127595,50.626126059376794,50.5930874098307,50.562882847799905,50.534279106962394,50.5064205844576,50.47923396075371,50.4529645412796,50.427526524836395,50.40286089223621
