CountryCode,CountryName,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ABW,Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,99.0264129638672,,,,,,,,,,99.1384124755859,,,,
AFG,Afghanistan,,,,,30.06635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9900512695313,,,
AGO,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,72.1944885253906,,,,,,,,,,,,72.98182678222659,
ALB,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,99.43515014648442,,,,,,,98.83120727539058,,,98.7911911010742,99.2313995361328,,
ARB,Arab World,,,,,,,,,,,,,,,,72.86641897393879,,,,,,,,,,81.5986092592738,,,,,,,,,,88.6757065307968,,,,
ARE,United Arab Emirates,63.04761,,,,,,,,,,82.47263000000001,,,,,,,,,,,,,,,,,,,,95.0064544677734,,,,,,,,,
ARG,Argentina,,,,,,96.88255,,,,,,,,,,,98.30464,,,,,,,,,,98.91665649414058,,,,,,,,,,,,99.26104736328129,
ARM,Armenia,,,,,,,,,,,,,,,99.90997,,,,,,,,,,,,99.80728149414058,,,,,,,,,,99.8473968505859,,,
ASM,American Samoa,,,,,,97.65420999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.00550079345699,,
AZE,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,99.8860931396484,,,,,,,,100.0,,99.9512939453125,99.9505996704102,99.94409942626949,99.9367523193359,99.9524688720703,99.9569931030273
BDI,Burundi,,,,,30.97659,,,,,,,,,,,53.555209999999995,,,,,,,,,,73.3300552368164,,,,,,,,88.8863677978516,,,,,,
BEN,Benin,,,,,29.78674,,,,,,,,,,,,,39.87661,,,,,,,,,,45.3096237182617,,,,42.3627052307129,,,,,,,,
BFA,Burkina Faso,14.37752,,,,,,,,,,,,,,,,20.18029,,,,,19.41415,,,,,,,31.2292594909668,,32.9666175842285,32.730602264404205,39.257781982421896,,,,,,,
BGD,Bangladesh,,,,,,,35.65325,,,,,,,,,,44.680820000000004,,,,,,,,,,63.6227340698242,,,,,,,,,,,,81.0772399902344,
BGR,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,98.2124786376953,,,,,,,,,,97.86505126953129,,,
BHR,Bahrain,,,,,,,86.29309,,,,,,,,,,96.9381,,,,,,,,,,97.0247116088867,,,,,,,,,98.1635971069335,,,,
BIH,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,99.7939300537109,,,,,,,,,,,,,99.6723403930664,
BLR,Belarus,,,,,,,,,,,,,,,99.76628000000001,,,,,,,,,,99.79183959960942,,,,,,,,,,99.82321166992192,,,,,
BLZ,Belize,,,,,,,,,,,,,,,,,76.42048,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia,,83.55198,,,,,,,,,,,,,,,,93.89611,,,,,,,,,97.3237838745117,,,,,,99.4413604736328,99.12249755859379,99.38397216796879,,99.0075225830078,98.9958877563477,,
BRA,Brazil,,,,,,83.91427,,,,,,,,,,,,,,,,,,,,94.18411254882808,,,,96.8438568115234,,97.5822982788085,97.80062866210942,97.8436279296875,98.0655364990234,97.5141220092773,98.4869155883789,98.6196517944335,98.7366790771484,
BRN,Brunei Darussalam,,,,,,,93.68101,,,,,,,,,,98.09566,,,,,,,,,,98.8937835693359,,,,,,,,,,99.3667678833008,,,
BTN,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.4052047729492,,,,,,,,,
BWA,Botswana,,,,,,,,,,,,,,,,,89.2583,,,,,,,,,,,,93.9574432373047,,,,,,,,,,97.58788299560551,
CAF,Central African Republic,34.512440000000005,,,,,,,,,,,,,48.202329999999996,,,,,,,,,,,,60.8070487976074,,,,,,,,,,36.356269836425795,,,,
CEB,Central Europe and the Baltics,,,,,,,,,,,,,,,,99.56685622001059,,,,,,,,,,99.26230464864479,,,,,,,,,,99.48356899480659,,,,
CHL,Chile,,,,,,,,96.65398,,,,,,,,,,98.42796,,,,,,,,,,98.9909820556641,,,,,,99.1535797119141,98.87237548828129,,99.4081878662109,,,
CHN,China,,,,,,,,88.77334,,,,,,,,94.28147,,,,,,,,,,98.8587265014648,,,,,,,,,,99.6422882080078,,,,
CIV,Cote d'Ivoire,,,,,,,,,,,,,,48.50848,,,,,,,,,,47.05871,,60.7236557006836,,,,,,,,,,,,48.3099594116211,,
CMR,Cameroon,,68.81703,,,,,,,,,,,,,,,,,,,,,,,,83.098289489746,,,,,,,83.1355743408203,,,80.5744400024414,,,,
COG,"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.913948059082,,,
COL,Colombia,,,,,,,,,,,,,,,,,,,90.52465,,,96.995,,,,,,,,97.9913101196289,97.95840454101558,97.88317108154301,97.9686279296875,97.9892730712891,97.9374313354492,98.09841918945308,98.23937225341801,,,
COM,Comoros,,,,,,61.71301999999999,,,,,,,,,,,,,,,,,,,,80.1857604980469,,,,,,,,,,,,,86.8080825805664,
CPV,Cabo Verde,,,,,,,,,,,,,,,,88.16790999999999,,,,,,,,,,,,,,97.11495971679692,,,,,,,,98.12896728515629,,
CRI,Costa Rica,,,,,,,,,,97.14819,,,,,,,,,,,,,,,,97.6146926879883,,,,,,,,,,,99.1337051391602,,,
CSS,Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,94.25867443056922,,,,,,,,,,95.98971138556401,,,,
CUB,Cuba,,,,,,,99.56857,,,,,,,,,,,,,,,,,,,,,99.9556045532227,,,,,,,,,,99.874656677246,,
CYM,Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9068222045898,,,,,,,
CYP,Cyprus,,,,,,,,,,,,,,,,,,99.62139,,,,,,,,,99.77493286132808,,,,,,,,,,99.82098388671879,,,
