Country, Peace Index 2015, Terrorism Index 2014,Source
Afghanistan,3.427,9.23,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Albania,1.821,2.12,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Algeria,2.131,4.75,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Angola,2.02,0.24,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Argentina,1.865,1.67,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Armenia,2.028,0.12,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Australia,1.329,3.11,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Austria,1.198,2.09,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Azerbaijan,2.325,1.38,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Bahrain,2.142,4.87,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Bangladesh,1.997,5.92,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Belarus,2.173,2.13,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Belgium,1.368,1.98,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Benin,1.958,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Bhutan,1.416,0.31,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Bolivia (Plurinational State of),2.025,0.08,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Bosnia and Herzegovina,1.839,1.52,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Botswana,1.597,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Brazil,2.122,2.21,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Bulgaria,1.607,2.42,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Burkina Faso,1.994,0.31,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Burundi,2.323,3.34,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Cambodia,2.179,0.15,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Cameroon,2.349,6.47,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Canada,1.287,2.3,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Central African Republic,3.332,6.72,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Chad,2.429,2.14,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Chile,1.563,3.97,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
China,2.267,6.29,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Colombia,2.72,6.66,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Costa Rica,1.654,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Côte D'Ivoire,2.133,3.14,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Croatia,1.55,0.12,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Cuba,1.988,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Cyprus,1.924,3.08,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Czech Republic,1.341,2.48,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Democratic Republic of the Congo,3.085,6.49,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Denmark,1.15,0.09,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Djibouti,2.113,2.57,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Dominican Republic,2.089,2.58,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Ecuador,1.997,0.58,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Egypt,2.382,6.81,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
El Salvador,2.263,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Equatorial Guinea,1.987,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Eritrea,2.309,1.64,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Estonia,1.677,0.08,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Ethiopia,2.234,3.54,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Finland,1.277,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
France,1.742,4.55,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Gabon,1.904,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Georgia,1.973,2.37,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Germany,1.379,3.44,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Ghana,1.84,1.38,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Greece,1.878,4.98,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Guatemala,2.215,2.01,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Guinea,2.214,1.19,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Guinea Bissau,2.235,0.15,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Guyana,2.029,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Haiti,2.074,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Honduras,2.21,2.08,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Hungary,1.463,1.19,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Iceland,1.148,1.22,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
India,2.504,7.75,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Indonesia,1.768,4.76,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Iran (Islamic Republic of),2.409,4.22,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Iraq,3.444,10,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Ireland,1.354,3.66,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Israel,2.781,6.03,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Italy,1.669,3.36,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Jamaica,2.153,0.23,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Japan,1.322,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Jordan,1.944,1.75,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Kazakhstan,2.008,1.88,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Kenya,2.342,6.66,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Kosovo,1.938,3.02,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Kuwait,1.626,0.02,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Kyrgyzstan,2.249,1.72,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Lao People’s Democratic Republic,1.7,0.04,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Latvia,1.695,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Lebanon,2.623,6.38,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Lesotho,1.891,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Liberia,1.963,1.22,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Libya,2.819,7.29,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Lithuania,1.674,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
The former Yugoslav Republic of Macedonia,1.944,2.25,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Madagascar,1.911,2.44,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Malawi,1.814,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Malaysia,1.561,3.58,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Mali,2.31,5.87,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Mauritania,2.262,0.31,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Mauritius,1.503,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Mexico,2.53,3.99,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Republic of Moldova,1.942,0.04,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Mongolia,1.706,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Montenegro,1.854,0.66,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Morocco,2.002,1.45,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Mozambique,1.976,4.39,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Myanmar,2.323,4.08,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Namibia,1.784,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Nepal,1.882,4.79,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Netherlands,1.432,0.43,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
New Zealand,1.221,1.19,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Nicaragua,1.947,2.93,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Niger,2.32,3.49,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Nigeria,2.91,9.21,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Democratic People's Republic of Korea,2.977,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Norway,1.393,2.74,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Oman,1.947,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Pakistan,3.049,9.07,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Panama,1.903,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Papua New Guinea,2.064,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Paraguay,2.023,4.09,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Peru,2.029,3.32,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Philippines,2.462,7.27,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Poland,1.43,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Portugal,1.344,0.27,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Qatar,1.568,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Republic of the Congo,2.196,0.82,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Romania,1.542,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Russian Federation,2.954,6.21,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Rwanda,2.42,3.33,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Saudi Arabia,2.042,4.01,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Senegal,1.805,3.47,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Serbia,1.768,0.41,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Sierra Leone,1.864,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Singapore,1.49,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Slovakia,1.478,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Slovenia,1.378,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Somalia,3.307,7.6,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
South Africa,2.376,4.23,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Republic of Korea,1.701,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
South _Sudan,3.383,6.71,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Spain,1.451,2.62,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Sri Lanka,2.188,4.08,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Sudan,3.295,6.69,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Swaziland,2.102,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Sweden,1.36,3.08,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Switzerland,1.275,1.35,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Syrian Arab Republic,3.645,8.11,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Taiwan,1.657,0.15,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Tajikistan,2.152,1.87,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
United Republic of Tanzania,1.903,3.98,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
Thailand,2.303,7.28,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
"Gambia, The",2.086,0,http://www.visionofhumanity.org/#/page/indexes/global-peace-index
