CountryCode,CountryName,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ABW,Aruba,54208.0,55435.0,56226.0,56697.0,57029.0,57360.0,57712.0,58049.0,58385.0,58724.0,59065.0,59438.0,59849.0,60239.0,60525.0,60655.0,60589.0,60366.0,60106.0,59978.0,60096.0,60567.0,61344.0,62204.0,62831.0,63028.0,62644.0,61835.0,61077.0,61032.0,62148.0,64623.0,68235.0,72498.0,76700.0,80326.0,83195.0,85447.0,87276.0,89004.0,90858.0,92894.0,94995.0,97015.0,98742.0,100031.0,100830.0,101218.0,101342.0,101416.0,101597.0,101936.0,102393.0,102921.0,103441.0
ADO,Andorra,13414.0,14376.0,15376.0,16410.0,17470.0,18551.0,19646.0,20755.0,21888.0,23061.0,24279.0,25560.0,26892.0,28231.0,29514.0,30706.0,31781.0,32769.0,33746.0,34819.0,36063.0,37502.0,39112.0,40862.0,42704.0,44597.0,46515.0,48458.0,50431.0,52449.0,54511.0,56674.0,58904.0,61003.0,62707.0,63854.0,64291.0,64147.0,63888.0,64161.0,65399.0,67770.0,71046.0,74783.0,78337.0,81223.0,83373.0,84878.0,85616.0,85474.0,84419.0,82326.0,79316.0,75902.0,72786.0
AFG,Afghanistan,8994793.0,9164945.0,9343772.0,9531555.0,9728645.0,9935358.0,10148841.0,10368600.0,10599790.0,10849510.0,11121097.0,11412821.0,11716896.0,12022514.0,12315553.0,12582954.0,12831361.0,13056499.0,13222547.0,13283279.0,13211412.0,12996923.0,12667001.0,12279095.0,11912510.0,11630498.0,11438949.0,11337932.0,11375768.0,11608351.0,12067570.0,12789374.0,13745630.0,14824371.0,15869967.0,16772522.0,17481800.0,18034130.0,18511480.0,19038420.0,19701940.0,20531160.0,21487079.0,22507368.0,23499850.0,24399948.0,25183615.0,25877544.0,26528741.0,27207291.0,27962207.0,28809167.0,29726803.0,30682500.0,31627506.0
AGO,Angola,5270844.0,5367287.0,5465905.0,5565808.0,5665701.0,5765025.0,5863568.0,5962831.0,6066094.0,6177703.0,6300969.0,6437645.0,6587647.0,6750215.0,6923749.0,7107334.0,7299508.0,7501320.0,7717139.0,7952882.0,8211950.0,8497950.0,8807511.0,9128655.0,9444918.0,9745209.0,10023700.0,10285712.0,10544904.0,10820992.0,11127870.0,11472173.0,11848971.0,12246786.0,12648483.0,13042666.0,13424813.0,13801868.0,14187710.0,14601983.0,15058638.0,15562791.0,16109696.0,16691395.0,17295500.0,17912942.0,18541467.0,19183907.0,19842251.0,20520103.0,21219954.0,21942296.0,22685632.0,23448202.0,24227524.0
ALB,Albania,1608800.0,1659800.0,1711319.0,1762621.0,1814135.0,1864791.0,1914573.0,1965598.0,2022272.0,2081695.0,2135479.0,2187853.0,2243126.0,2296752.0,2350124.0,2404831.0,2458526.0,2513546.0,2566266.0,2617832.0,2671997.0,2726056.0,2784278.0,2843960.0,2904429.0,2964762.0,3022635.0,3083605.0,3142336.0,3227943.0,3286542.0,3266790.0,3247039.0,3227287.0,3207536.0,3187784.0,3168033.0,3148281.0,3128530.0,3108778.0,3089027.0,3060173.0,3051010.0,3039616.0,3026939.0,3011487.0,2992547.0,2970017.0,2947314.0,2927519.0,2913021.0,2904780.0,2900489.0,2897366.0,2894475.0
ARB,Arab World,92495902.0,95041593.0,97691498.0,100438281.0,103273929.0,106192292.0,109200085.0,112300575.0,115477026.0,118706804.0,121981406.0,125273032.0,128622897.0,132115341.0,135862252.0,139939303.0,144379199.0,149151171.0,154178332.0,159346617.0,164571043.0,169828213.0,175134529.0,180493632.0,185880521.0,191425366.0,197062077.0,202715574.0,208407618.0,214097076.0,221928852.0,228177371.0,232406302.0,238577631.0,244799607.0,252465890.0,258300051.0,264052700.0,269737923.0,275492163.0,281355774.0,287358599.0,293501628.0,299853418.0,306505782.0,313508929.0,320912518.0,328668135.0,336662433.0,344702311.0,352640325.0,360761571.0,368914383.0,377096710.0,385272539.0
ARE,United Arab Emirates,92612.0,100985.0,112240.0,125216.0,138220.0,150318.0,161077.0,171781.0,185312.0,205570.0,235434.0,275160.0,324069.0,382823.0,451948.0,531265.0,622051.0,722849.0,827394.0,927303.0,1016789.0,1093108.0,1158477.0,1218223.0,1280278.0,1350433.0,1430548.0,1518991.0,1613904.0,1712117.0,1811458.0,1913190.0,2019014.0,2127863.0,2238281.0,2350192.0,2467726.0,2595220.0,2733770.0,2884188.0,3050128.0,3217865.0,3394060.0,3625798.0,3975945.0,4481976.0,5171255.0,6010100.0,6900142.0,7705423.0,8329453.0,8734722.0,8952542.0,9039978.0,9086139.0
ARG,Argentina,20619075.0,20953079.0,21287682.0,21621845.0,21953926.0,22283389.0,22608747.0,22932201.0,23261273.0,23605992.0,23973062.0,24366442.0,24782950.0,25213388.0,25644505.0,26066975.0,26477153.0,26878567.0,27277742.0,27684530.0,28105889.0,28543366.0,28993989.0,29454739.0,29920907.0,30388781.0,30857242.0,31326473.0,31795515.0,32263559.0,32729740.0,33193920.0,33655149.0,34110912.0,34558114.0,34994818.0,35419683.0,35833965.0,36241578.0,36648054.0,37057453.0,37471535.0,37889443.0,38309475.0,38728778.0,39145491.0,39558750.0,39969903.0,40381860.0,40798641.0,41222875.0,41655616.0,42095224.0,42538304.0,42980026.0
ARM,Armenia,1867396.0,1934239.0,2002170.0,2070427.0,2138133.0,2204650.0,2269475.0,2332624.0,2394635.0,2456370.0,2518408.0,2580894.0,2643464.0,2705584.0,2766495.0,2825650.0,2882831.0,2938181.0,2991954.0,3044564.0,3096298.0,3145885.0,3192877.0,3239212.0,3287588.0,3339147.0,3396511.0,3457054.0,3510439.0,3542720.0,3544695.0,3511912.0,3449497.0,3369673.0,3289943.0,3223173.0,3173425.0,3137652.0,3112958.0,3093820.0,3076098.0,3060036.0,3047249.0,3036420.0,3025982.0,3014917.0,3002161.0,2988117.0,2975029.0,2966108.0,2963496.0,2967984.0,2978339.0,2992192.0,3006154.0
ASM,American Samoa,20012.0,20478.0,21118.0,21883.0,22701.0,23518.0,24320.0,25116.0,25886.0,26615.0,27292.0,27916.0,28490.0,29014.0,29491.0,29932.0,30325.0,30690.0,31105.0,31670.0,32456.0,33488.0,34740.0,36165.0,37687.0,39247.0,40835.0,42448.0,44049.0,45591.0,47044.0,48379.0,49597.0,50725.0,51807.0,52874.0,53926.0,54942.0,55899.0,56768.0,57522.0,58176.0,58729.0,59117.0,59262.0,59117.0,58648.0,57904.0,57031.0,56226.0,55636.0,55316.0,55227.0,55302.0,55434.0
ATG,Antigua and Barbuda,54681.0,55403.0,56311.0,57368.0,58500.0,59653.0,60818.0,62002.0,63176.0,64307.0,65369.0,66338.0,67205.0,67972.0,68655.0,69253.0,69782.0,70223.0,70508.0,70553.0,70301.0,69750.0,68950.0,67958.0,66863.0,65744.0,64605.0,63484.0,62538.0,61967.0,61906.0,62412.0,63434.0,64868.0,66550.0,68349.0,70245.0,72232.0,74206.0,76041.0,77648.0,78972.0,80030.0,80904.0,81718.0,82565.0,83467.0,84397.0,85350.0,86300.0,87233.0,88152.0,89069.0,89985.0,90900.0
AUS,Australia,10276477.0,10483000.0,10742000.0,10950000.0,11167000.0,11388000.0,11651000.0,11799000.0,12009000.0,12263000.0,12507000.0,12937000.0,13177000.0,13380000.0,13723000.0,13893000.0,14033000.0,14192000.0,14358000.0,14514000.0,14692000.0,14927000.0,15178000.0,15369000.0,15544000.0,15758000.0,16018400.0,16263900.0,16532200.0,16814400.0,17065100.0,17284000.0,17495000.0,17667000.0,17855000.0,18072000.0,18311000.0,18517000.0,18711000.0,18926000.0,19153000.0,19413000.0,19651400.0,19895400.0,20127400.0,20394800.0,20697900.0,20827600.0,21249200.0,21691700.0,22031750.0,22340024.0,22728254.0,23125868.0,23490736.0
AUT,Austria,7047539.0,7086299.0,7129864.0,7175811.0,7223801.0,7270889.0,7322066.0,7376998.0,7415403.0,7441055.0,7467086.0,7500482.0,7544201.0,7586115.0,7599038.0,7578903.0,7565525.0,7568430.0,7562305.0,7549425.0,7549433.0,7568710.0,7574140.0,7561910.0,7561434.0,7564985.0,7569794.0,7574586.0,7585317.0,7619567.0,7677850.0,7754891.0,7840709.0,7905633.0,7936118.0,7948278.0,7959017.0,7968041.0,7976789.0,7992324.0,8011566.0,8042293.0,8081957.0,8121423.0,8171966.0,8227829.0,8268641.0,8295487.0,8321496.0,8343323.0,8363404.0,8391643.0,8429991.0,8479375.0,8534492.0
AZE,Azerbaijan,3897889.0,4030130.0,4167558.0,4307315.0,4445653.0,4579759.0,4708485.0,4832098.0,4950977.0,5066080.0,5178160.0,5287272.0,5393176.0,5496061.0,5596160.0,5693796.0,5789050.0,5882395.0,5975045.0,6068531.0,6163990.0,6261942.0,6362289.0,6464775.0,6568857.0,6674107.0,6779970.0,6886428.0,6994139.0,7104058.0,7159000.0,7271000.0,7382000.0,7495000.0,7597000.0,7685000.0,7763000.0,7838250.0,7913000.0,7982750.0,8048600.0,8111200.0,8171950.0,8234100.0,8306500.0,8391850.0,8484550.0,8581300.0,8763400.0,8947243.0,9054332.0,9173082.0,9295784.0,9416801.0,9537823.0
BDI,Burundi,2786740.0,2840375.0,2894510.0,2950903.0,3011957.0,3079034.0,3153879.0,3235125.0,3317315.0,3392949.0,3457113.0,3507593.0,3547335.0,3582952.0,3623853.0,3676991.0,3744696.0,3825484.0,3917866.0,4018927.0,4126544.0,4239673.0,4359122.0,4486613.0,4624617.0,4774258.0,4936429.0,5108581.0,5284173.0,5454475.0,5613141.0,5759429.0,5895131.0,6019901.0,6134041.0,6239030.0,6333415.0,6420397.0,6511920.0,6623707.0,6767073.0,6946720.0,7159918.0,7401215.0,7661613.0,7934213.0,8218070.0,8514578.0,8821795.0,9137786.0,9461117.0,9790151.0,10124572.0,10465959.0,10816860.0
BEL,Belgium,9153489.0,9183948.0,9220578.0,9289770.0,9378113.0,9463667.0,9527807.0,9580991.0,9618756.0,9646032.0,9655549.0,9673162.0,9711115.0,9741720.0,9772419.0,9800700.0,9818227.0,9830358.0,9839534.0,9848382.0,9859242.0,9858982.0,9856303.0,9855520.0,9855372.0,9858308.0,9861823.0,9870234.0,9901664.0,9937697.0,9967379.0,10004486.0,10045158.0,10084475.0,10115603.0,10136811.0,10156637.0,10181245.0,10203008.0,10226419.0,10251250.0,10286570.0,10332785.0,10376133.0,10421137.0,10478617.0,10547958.0,10625700.0,10709973.0,10796493.0,10920272.0,11047744.0,11128246.0,11182817.0,11225207.0
BEN,Benin,2431620.0,2466002.0,2503232.0,2543335.0,2586362.0,2632360.0,2681382.0,2733450.0,2788551.0,2846652.0,2907769.0,2971941.0,3039300.0,3110074.0,3184547.0,3262959.0,3345501.0,3432262.0,3523270.0,3618509.0,3718024.0,3822206.0,3931355.0,4045352.0,4163968.0,4287263.0,4414450.0,4546136.0,4685375.0,4836240.0,5001271.0,5182525.0,5378226.0,5582420.0,5786794.0,5985658.0,6176318.0,6361301.0,6546493.0,6740491.0,6949366.0,7174911.0,7414744.0,7665681.0,7922796.0,8182362.0,8443717.0,8707637.0,8973525.0,9240982.0,9509798.0,9779391.0,10049792.0,10322232.0,10598482.0
BFA,Burkina Faso,4829291.0,4894578.0,4960325.0,5027818.0,5098892.0,5174869.0,5256363.0,5343020.0,5434040.0,5528172.0,5624597.0,5723379.0,5825171.0,5930487.0,6040044.0,6154548.0,6274037.0,6398937.0,6530820.0,6671659.0,6822840.0,6985158.0,7158256.0,7340907.0,7531244.0,7727912.0,7930690.0,8140076.0,8356306.0,8579825.0,8811033.0,9050090.0,9297116.0,9552473.0,9816586.0,10089876.0,10372809.0,10665781.0,10969093.0,11283016.0,11607944.0,11943740.0,12290984.0,12651596.0,13028039.0,13421929.0,13834195.0,14264002.0,14709011.0,15165856.0,15632066.0,16106851.0,16590813.0,17084554.0,17589198.0
BGD,Bangladesh,48200702.0,49593610.0,51030604.0,52532595.0,54129390.0,55835020.0,57675529.0,59625294.0,61585520.0,63422570.0,65048701.0,66417450.0,67578486.0,68658472.0,69837960.0,71247153.0,72930206.0,74848466.0,76948378.0,79141947.0,81364176.0,83599582.0,85868228.0,88181211.0,90559540.0,93015182.0,95550798.0,98149262.0,100779551.0,103400571.0,105983136.0,108509679.0,110987459.0,113442354.0,115913710.0,118427768.0,120987124.0,123574107.0,126169583.0,128746273.0,131280739.0,133776064.0,136228456.0,138600174.0,140843786.0,142929979.0,144839238.0,146592687.0,148252473.0,149905836.0,151616777.0,153405612.0,155257387.0,157157394.0,159077513.0
BGR,Bulgaria,7867374.0,7943118.0,8012946.0,8078145.0,8144340.0,8204168.0,8258057.0,8310226.0,8369603.0,8434172.0,8489574.0,8536395.0,8576200.0,8620967.0,8678745.0,8720742.0,8758599.0,8804183.0,8814032.0,8825940.0,8861535.0,8891117.0,8917457.0,8939738.0,8960679.0,8960547.0,8958171.0,8971359.0,8981446.0,8876972.0,8718289.0,8632367.0,8540164.0,8472313.0,8443591.0,8406067.0,8362826.0,8312068.0,8256786.0,8210624.0,8170172.0,8020282.0,7868468.0,7823557.0,7781161.0,7739900.0,7699020.0,7545338.0,7492561.0,7444443.0,7395599.0,7348328.0,7305888.0,7265115.0,7223938.0
BHR,Bahrain,162501.0,167924.0,173107.0,178048.0,182774.0,187348.0,191782.0,196203.0,200953.0,206469.0,213102.0,220808.0,229588.0,239860.0,252139.0,266686.0,283843.0,303236.0,323511.0,342829.0,359902.0,374125.0,385950.0,396447.0,407223.0,419425.0,433487.0,448994.0,465235.0,481126.0,495944.0,509654.0,522748.0,535692.0,549151.0,563730.0,579855.0,597834.0,618054.0,640904.0,666855.0,694893.0,725365.0,761595.0,807989.0,867014.0,940808.0,1026568.0,1115777.0,1196774.0,1261319.0,1306014.0,1333577.0,1349427.0,1361930.0
BHS,"Bahamas, The",109526.0,115108.0,121083.0,127331.0,133697.0,140049.0,146364.0,152607.0,158629.0,164250.0,169356.0,173867.0,177844.0,181489.0,185097.0,188882.0,192905.0,197118.0,201511.0,206038.0,210660.0,215404.0,220275.0,225185.0,230016.0,234684.0,239132.0,243391.0,247576.0,251855.0,256338.0,261117.0,266133.0,271165.0,275903.0,280151.0,283792.0,286968.0,290054.0,293572.0,297891.0,303138.0,309170.0,315757.0,322539.0,329243.0,335801.0,342259.0,348587.0,354780.0,360830.0,366711.0,372388.0,377841.0,383054.0
BIH,Bosnia and Herzegovina,3214520.0,3277096.0,3341809.0,3406466.0,3468083.0,3524596.0,3574972.0,3619997.0,3661642.0,3702834.0,3745637.0,3790948.0,3838002.0,3885229.0,3930283.0,3971608.0,4008411.0,4041623.0,4073480.0,4107135.0,4144726.0,4185074.0,4226663.0,4270598.0,4318301.0,4369527.0,4428460.0,4491745.0,4542757.0,4559256.0,4526996.0,4437898.0,4301169.0,4141167.0,3992256.0,3879278.0,3810649.0,3779354.0,3775898.0,3784389.0,3792878.0,3799747.0,3808347.0,3817313.0,3825872.0,3833377.0,3838504.0,3840418.0,3839749.0,3837732.0,3835258.0,3832310.0,3828419.0,3823533.0,3817554.0
BLR,Belarus,8198000.0,8271216.0,8351928.0,8437232.0,8524224.0,8610000.0,8696496.0,8785648.0,8874552.0,8960304.0,9040000.0,9115576.0,9188968.0,9257272.0,9317584.0,9367000.0,9411000.0,9463000.0,9525000.0,9584000.0,9643000.0,9710000.0,9776000.0,9843000.0,9910000.0,9975000.0,10043000.0,10111000.0,10140000.0,10170000.0,10189000.0,10194000.0,10216000.0,10239000.0,10227000.0,10194000.0,10160000.0,10117000.0,10069000.0,10035000.0,10005000.0,9928000.0,9865000.0,9797000.0,9730000.0,9663000.0,9604000.0,9560000.0,9528000.0,9507000.0,9490000.0,9473000.0,9464000.0,9466000.0,9470000.0
BLZ,Belize,92068.0,94701.0,97389.0,100166.0,103070.0,106121.0,109344.0,112699.0,116061.0,119260.0,122179.0,124792.0,127148.0,129294.0,131306.0,133261.0,135145.0,136991.0,138972.0,141308.0,144151.0,147566.0,151498.0,155820.0,160342.0,164916.0,169570.0,174326.0,179025.0,183470.0,187552.0,191127.0,194321.0,197615.0,201678.0,206962.0,213674.0,221608.0,230289.0,239024.0,247312.0,254989.0,262202.0,269132.0,276085.0,283279.0,290751.0,298403.0,306165.0,313925.0,321609.0,329193.0,336707.0,344193.0,351706.0
BMU,Bermuda,44400.0,45500.0,46600.0,47700.0,48900.0,50100.0,51000.0,52000.0,53000.0,54000.0,55000.0,54600.0,54200.0,53800.0,53400.0,53000.0,53200.0,53400.0,53600.0,53800.0,54670.0,55050.0,55449.0,55930.0,56423.0,56898.0,57382.0,57849.0,58347.0,58841.0,59326.0,59021.0,58595.0,58910.0,59320.0,59746.0,60129.0,60497.0,60943.0,61285.0,61833.0,62504.0,62912.0,63325.0,63740.0,64154.0,64523.0,64888.0,65273.0,65636.0,65124.0,64564.0,64798.0,65001.0,65181.0
BOL,Bolivia,3693451.0,3764815.0,3838096.0,3913397.0,3990855.0,4070590.0,4152665.0,4237126.0,4324066.0,4413584.0,4505774.0,4600596.0,4698090.0,4798510.0,4902173.0,5009259.0,5119833.0,5233677.0,5350320.0,5469123.0,5589572.0,5711598.0,5835186.0,5959962.0,6085499.0,6211549.0,6337893.0,6464736.0,6592787.0,6723046.0,6856246.0,6992521.0,7131699.0,7273824.0,7418864.0,7566716.0,7717445.0,7870860.0,8026257.0,8182710.0,8339512.0,8496378.0,8653343.0,8810420.0,8967740.0,9125405.0,9283345.0,9441482.0,9599916.0,9758799.0,9918245.0,10078238.0,10238762.0,10399931.0,10561887.0
BRA,Brazil,72493585.0,74706888.0,77007549.0,79368453.0,81751802.0,84130061.0,86494987.0,88853679.0,91213009.0,93585746.0,95982453.0,98402200.0,100844391.0,103320787.0,105846274.0,108431284.0,111076063.0,113776467.0,116532153.0,119341444.0,122199721.0,125107382.0,128054757.0,131014337.0,133950551.0,136836428.0,139664639.0,142437479.0,145150468.0,147801816.0,150393143.0,152916852.0,155379009.0,157812220.0,160260508.0,162755054.0,165303155.0,167893835.0,170516482.0,173153066.0,175786441.0,178419396.0,181045592.0,183627339.0,186116363.0,188479240.0,190698241.0,192784521.0,194769696.0,196701298.0,198614208.0,200517584.0,202401584.0,204259377.0,206077898.0
BRB,Barbados,230934.0,231674.0,232584.0,233587.0,234547.0,235373.0,236043.0,236620.0,237199.0,237911.0,238847.0,240038.0,241441.0,242980.0,244539.0,246033.0,247444.0,248785.0,250035.0,251176.0,252197.0,253080.0,253836.0,254515.0,255195.0,255929.0,256738.0,257609.0,258524.0,259454.0,260374.0,261281.0,262184.0,263091.0,264015.0,264962.0,265940.0,266944.0,267949.0,268920.0,269838.0,270686.0,271479.0,272261.0,273091.0,274013.0,275040.0,276154.0,277315.0,278466.0,279566.0,280602.0,281580.0,282503.0,283380.0
BRN,Brunei Darussalam,81825.0,85687.0,89603.0,93650.0,97933.0,102525.0,107450.0,112680.0,118176.0,123875.0,129729.0,135716.0,141836.0,148067.0,154395.0,160799.0,167283.0,173826.0,180357.0,186786.0,193057.0,199136.0,205061.0,210933.0,216893.0,223049.0,229418.0,235980.0,242750.0,249738.0,256939.0,264365.0,271989.0,279717.0,287423.0,295010.0,302449.0,309746.0,316873.0,323812.0,330554.0,337074.0,343383.0,349557.0,355700.0,361889.0,368150.0,374459.0,380786.0,387080.0,393302.0,399443.0,405512.0,411499.0,417394.0
BTN,Bhutan,224108.0,229297.0,234703.0,240364.0,246324.0,252629.0,259270.0,266293.0,273868.0,282210.0,291457.0,301653.0,312712.0,324465.0,336677.0,349146.0,361862.0,374801.0,387731.0,400378.0,412561.0,423887.0,434385.0,444789.0,456135.0,469010.0,484151.0,500952.0,517068.0,529284.0,535505.0,534678.0,528085.0,518847.0,511382.0,508897.0,512377.0,520917.0,533506.0,548387.0,564187.0,580784.0,598421.0,616474.0,634235.0,651163.0,666920.0,681471.0,694990.0,707830.0,720246.0,732246.0,743711.0,754637.0,765008.0
