CountryCode,CountryName,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
ADO,Andorra,,,,,2.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,10.0,10.0,3.0,9.0,10.0,9.0,6.0,6.0,6.0,6.0,7.0,5.0,7.0
AFG,Afghanistan,6339095.0,6306301.0,4552153.0,3374576.0,2731169.0,2679133.0,2674236.0,2676674.0,2667115.0,2601691.0,3587336.0,3809767.0,2510294.0,2136043.0,2414401.0,2166149.0,2107519.0,3057661.0,2833128.0,2887123.0,3054709.0,2664436.0,2586152.0,2556556.0,2593368.0
AGO,Angola,407760.0,381636.0,300492.0,323831.0,282577.0,246657.0,249687.0,267696.0,319430.0,353478.0,433760.0,470625.0,435421.0,329583.0,228838.0,215827.0,206501.0,186155.0,171393.0,141021.0,134858.0,128664.0,19258.0,10297.0,9507.0
ALB,Albania,1822.0,3540.0,4353.0,4744.0,5019.0,5803.0,5785.0,5379.0,5353.0,6288.0,6802.0,7626.0,10761.0,10385.0,10470.0,12722.0,14080.0,15340.0,15006.0,15711.0,14772.0,13551.0,12568.0,10084.0,10140.0
ARB,Arab World,2212498.0,2408680.0,2614885.0,1906599.0,2001784.0,2005056.0,2035564.0,1864336.0,1806135.0,1817001.0,1672735.0,1873008.0,1896002.0,1831115.0,1880608.0,1797793.0,3023683.0,3722824.0,3328247.0,3029306.0,3034372.0,3205416.0,3359110.0,4804793.0,6171232.0
ARE,United Arab Emirates,,,,,,,,4.0,7.0,7.0,15.0,18.0,31.0,20.0,71.0,30.0,265.0,308.0,256.0,414.0,424.0,486.0,584.0,90.0,90.0
ARG,Argentina,334.0,198.0,113.0,98.0,469.0,330.0,217.0,159.0,142.0,586.0,609.0,659.0,771.0,784.0,796.0,856.0,894.0,1171.0,1047.0,608.0,557.0,518.0,447.0,388.0,318.0
ARM,Armenia,1.0,1.0,195003.0,200116.0,201842.0,201442.0,203231.0,203690.0,193150.0,193231.0,5786.0,7207.0,13249.0,13162.0,13424.0,13965.0,14918.0,15436.0,16336.0,18000.0,17547.0,16487.0,15935.0,12021.0,11850.0
ATG,Antigua and Barbuda,,,,,,,,1.0,2.0,2.0,1.0,4.0,5.0,5.0,13.0,13.0,19.0,25.0,26.0,28.0,30.0,32.0,45.0,49.0,53.0
AUS,Australia,,,,,2.0,1.0,1.0,2.0,1.0,3.0,3.0,1.0,10.0,15.0,13.0,44.0,29.0,63.0,43.0,28.0,37.0,39.0,48.0,28.0,25.0
AUT,Austria,,,,,60.0,49.0,52.0,55.0,60.0,48.0,35.0,29.0,72.0,66.0,47.0,66.0,34.0,23.0,14.0,12.0,10.0,11.0,12.0,10.0,10.0
AZE,Azerbaijan,,,300000.0,328005.0,299095.0,200520.0,236086.0,234950.0,329657.0,311131.0,284277.0,268759.0,260214.0,253255.0,250583.0,233675.0,126068.0,15916.0,16319.0,16939.0,16753.0,16162.0,15537.0,10813.0,10521.0
BDI,Burundi,191622.0,223946.0,184135.0,871382.0,389706.0,350582.0,428680.0,519123.0,502568.0,527449.0,568084.0,553999.0,574557.0,531637.0,485773.0,438706.0,396541.0,375727.0,281592.0,94239.0,84064.0,101288.0,73363.0,72652.0,72499.0
BEL,Belgium,,,,,2.0,3.0,5.0,10.0,14.0,16.0,19.0,13.0,27.0,40.0,45.0,95.0,64.0,60.0,61.0,71.0,83.0,90.0,93.0,78.0,75.0
BEN,Benin,2.0,4.0,4.0,68.0,77.0,54.0,46.0,46.0,56.0,52.0,54.0,55.0,232.0,282.0,309.0,411.0,215.0,271.0,318.0,411.0,442.0,461.0,457.0,305.0,340.0
BFA,Burkina Faso,2.0,8.0,61.0,63.0,67.0,63.0,72.0,118.0,103.0,106.0,130.0,98.0,978.0,853.0,583.0,607.0,376.0,558.0,725.0,990.0,1145.0,1271.0,1460.0,1688.0,1853.0
BGD,Bangladesh,477.0,611.0,53921.0,57158.0,56199.0,56956.0,57959.0,44373.0,4658.0,4468.0,5401.0,5548.0,5808.0,5565.0,5731.0,7304.0,7803.0,10243.0,10098.0,10432.0,10049.0,10056.0,10161.0,9839.0,10865.0
BGR,Bulgaria,1922.0,2735.0,2981.0,3155.0,4689.0,4156.0,3246.0,3048.0,3122.0,2653.0,2404.0,2121.0,2841.0,2567.0,2215.0,4254.0,3438.0,3311.0,3040.0,2745.0,2559.0,2327.0,2147.0,1880.0,1648.0
BHR,Bahrain,39.0,52.0,53.0,60.0,75.0,71.0,63.0,82.0,97.0,129.0,95.0,46.0,50.0,52.0,52.0,41.0,62.0,73.0,80.0,79.0,87.0,215.0,297.0,275.0,347.0
BHS,"Bahamas, The",,,,,,,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,14.0,14.0,15.0,15.0,17.0,185.0,196.0,210.0,215.0
BIH,Bosnia and Herzegovina,,,437501.0,618427.0,776084.0,769753.0,993868.0,849241.0,640075.0,598193.0,504981.0,447321.0,406448.0,300006.0,228831.0,109930.0,199946.0,78273.0,74366.0,70018.0,63004.0,58578.0,51822.0,26811.0,21845.0
BLR,Belarus,,,,2.0,37.0,84.0,501.0,303.0,290.0,1507.0,2519.0,3696.0,6364.0,7815.0,8244.0,8857.0,9371.0,4970.0,5384.0,5525.0,5743.0,5925.0,6191.0,4444.0,4302.0
BLZ,Belize,,,,,8.0,8.0,3.0,,,11.0,12.0,,1.0,10.0,9.0,8.0,18.0,17.0,20.0,17.0,23.0,32.0,39.0,40.0,45.0
BMU,Bermuda,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,2.0,,,,,,,,,0.0
BOL,Bolivia,731.0,67.0,28.0,41.0,177.0,180.0,177.0,161.0,183.0,174.0,175.0,156.0,219.0,264.0,285.0,269.0,374.0,428.0,454.0,573.0,590.0,611.0,618.0,601.0,599.0
BRA,Brazil,14.0,11.0,11.0,12.0,41.0,53.0,85.0,104.0,136.0,196.0,224.0,254.0,441.0,378.0,403.0,370.0,707.0,1624.0,1404.0,973.0,994.0,1045.0,1076.0,986.0,977.0
BRB,Barbados,,,,,4.0,3.0,2.0,3.0,5.0,4.0,8.0,7.0,9.0,11.0,7.0,8.0,27.0,38.0,34.0,29.0,32.0,45.0,55.0,67.0,86.0
BRN,Brunei Darussalam,,,,,,3.0,,,,,,,2.0,1.0,1.0,49.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BTN,Bhutan,,9504.0,75442.0,85334.0,103271.0,104750.0,106822.0,108703.0,105689.0,107619.0,108945.0,110845.0,112523.0,103978.0,105255.0,106537.0,108073.0,110598.0,104965.0,89070.0,75070.0,57989.0,41590.0,31567.0,23642.0
BWA,Botswana,3.0,3.0,3.0,4.0,21.0,25.0,23.0,17.0,16.0,10.0,3.0,2.0,5.0,5.0,6.0,4.0,12.0,16.0,26.0,30.0,53.0,85.0,127.0,168.0,237.0
CAF,Central African Republic,100.0,320.0,325.0,313.0,266.0,242.0,240.0,149.0,173.0,196.0,139.0,28704.0,25376.0,35400.0,31069.0,42890.0,71685.0,98104.0,125106.0,159554.0,164905.0,162862.0,164568.0,252865.0,410787.0
CAN,Canada,,4.0,4.0,4.0,4.0,4.0,8.0,11.0,15.0,18.0,26.0,4.0,51.0,60.0,56.0,122.0,95.0,530.0,101.0,99.0,90.0,109.0,123.0,100.0,95.0
CEB,Central Europe and the Baltics,90730.0,60785.0,218579.0,230375.0,163574.0,304331.0,349489.0,379281.0,362720.0,373495.0,351757.0,306045.0,320685.0,273473.0,247938.0,167220.0,128701.0,118509.0,112055.0,90157.0,78037.0,73982.0,72791.0,58765.0,48680.0
CHE,Switzerland,,,,,8.0,27.0,33.0,55.0,77.0,91.0,70.0,61.0,56.0,35.0,12.0,16.0,36.0,31.0,32.0,18.0,19.0,20.0,17.0,15.0,19.0
CHL,Chile,14548.0,14007.0,14043.0,15267.0,15474.0,14273.0,12805.0,9776.0,7011.0,1543.0,860.0,834.0,1709.0,1555.0,1194.0,938.0,805.0,970.0,994.0,1312.0,1170.0,1189.0,1152.0,596.0,579.0
CHN,China,1426.0,2011.0,82576.0,111509.0,113907.0,104693.0,105810.0,106738.0,109402.0,111952.0,110975.0,117409.0,132115.0,132406.0,134724.0,124101.0,140598.0,149095.0,175180.0,180558.0,184602.0,190369.0,193453.0,195137.0,210730.0
CIV,Cote d'Ivoire,2.0,13.0,34.0,41.0,98.0,201.0,268.0,360.0,537.0,562.0,773.0,858.0,23741.0,33637.0,23655.0,18338.0,26315.0,22232.0,22227.0,23153.0,41758.0,154824.0,100720.0,85729.0,71959.0
CMR,Cameroon,100.0,1.0,83.0,173.0,238.0,2017.0,2109.0,2258.0,1348.0,1654.0,2062.0,2724.0,5225.0,6206.0,7629.0,9101.0,10384.0,11508.0,13870.0,14766.0,14963.0,15163.0,13382.0,11442.0,10761.0
COG,"Congo, Rep.",2.0,4.0,7.0,11.0,32.0,177.0,221.0,21147.0,17143.0,27302.0,27579.0,24237.0,28002.0,28958.0,28152.0,24438.0,20609.0,19735.0,19925.0,20544.0,20679.0,12839.0,12119.0,11751.0,14497.0
COL,Colombia,494.0,740.0,843.0,1042.0,1363.0,1902.0,2168.0,2377.0,3538.0,4413.0,9279.0,17938.0,30625.0,37995.0,47381.0,60450.0,72796.0,551744.0,373532.0,389753.0,395577.0,395949.0,394117.0,396635.0,103150.0
COM,Comoros,4.0,2.0,2.0,2.0,5.0,10.0,13.0,10.0,33.0,31.0,28.0,26.0,43.0,58.0,50.0,61.0,72.0,96.0,378.0,268.0,368.0,422.0,454.0,515.0,581.0
CPV,Cabo Verde,,,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,8.0,9.0,8.0,5.0,40.0,32.0,30.0,24.0,25.0,27.0,25.0,27.0,27.0
CRI,Costa Rica,,1.0,5.0,5.0,223.0,211.0,139.0,90.0,54.0,76.0,57.0,86.0,98.0,92.0,138.0,178.0,284.0,361.0,354.0,344.0,352.0,331.0,325.0,462.0,417.0
