ConflictId,Year,ISO-3166-1,Location,SideA,SideA2nd,SideB,SideBID,SideB2nd,Incompatibility,TerritoryName,IntensityLevel,CumulativeIntensity,TypeOfConflict,StartDate,StartPrec,StartDate2,StartPrec2,EpEnd,EpEndDate,EpEndPrec,GWNoA,GWNoA2nd,GWNoB,GWNoB2nd,GWNoLoc,Region,Version,
1-8,1946,ISR,Israel,Government of United Kingdom,,IZL [Etzel],1007,,1,Israel,1,0,1,1939-03-31,4,1946-12-31,5,1,1946-12-31,5,200,,,,666,2,4.0-2015,
1-14,1946,RUS,Russia (Soviet Union),Government of Russia (Soviet Union),,UPA,1016,,1,Ukraine,2,1,3,1941-12-31,5,1946-12-31,5,0,,,365,,,,365,1,4.0-2015,
1-11,1946,RUS,Russia (Soviet Union),Government of Russia (Soviet Union),,Forest Brothers,1012,,1,Estonia,1,1,3,1944-12-31,6,1946-12-31,5,0,,,365,,,,365,1,4.0-2015,
1-5,1946,IDN,Indonesia,Government of Netherlands,,Indonesian People's Army,1004,,1,Indonesia,1,0,1,1945-10-13,2,1946-12-31,5,0,,,210,,,,850,3,4.0-2015,
1-7,1946,IRN,Iran,Government of Iran,,Republic of Azerbaijan,1006,Government of Russia (Soviet Union),1,Azerbaijan,1,0,4,1945-11-19,1,1946-12-16,5,1,1946-12-16,1,630,,,365,630,2,4.0-2015,
1-12,1946,RUS,Russia (Soviet Union),Government of Russia (Soviet Union),,"LNPA, LTS(p)A","1013, 1014",,1,Latvia,1,0,3,1945-12-31,6,1946-12-31,5,1,1946-12-31,5,365,,,,365,1,4.0-2015,
1-4,1946,GRC,Greece,Government of Greece,,DSE,1003,,2,,2,1,3,1946-03-31,4,1946-03-31,4,0,,,350,,,,350,1,4.0-2015,
1-9,1946,LAO,Laos,Government of France,,Lao Issara,1008,,1,Laos,1,0,1,1946-03-31,4,1946-03-31,4,0,,,220,,,,812,3,4.0-2015,
1-15,1946,,"France, Thailand",Government of France,,Government of Thailand,800,,1,Northern Cambodia,1,0,2,1946-05-07,1,1946-05-07,1,1,1946-11-17,1,220,,800,,"220, 800","1, 3",4.0-2015,
1-6,1946,IRN,Iran,Government of Iran,,KDPI,1005,Government of Russia (Soviet Union),1,Kurdistan,1,0,4,1946-05-31,3,1946-05-31,3,1,1946-12-16,1,630,,,365,630,2,4.0-2015,
1-1,1946,BOL,Bolivia,Government of Bolivia,,Popular Revolutionary Movement,1580,,2,,2,1,3,1946-06-30,4,1946-06-30,4,1,1946-07-21,1,145,,,,145,5,4.0-2015,
1-13,1946,RUS,Russia (Soviet Union),Government of Russia (Soviet Union),,BDPS,1015,,1,Lithuania,2,1,3,1946-06-30,4,1946-06-30,4,0,,,365,,,,365,1,4.0-2015,
1-10,1946,PHL,Philippines,Government of Philippines,,Huk,1009,,2,,2,1,3,1946-07-31,4,1946-07-31,4,0,,,840,,,,840,3,4.0-2015,
1-2,1946,KHM,Cambodia (Kampuchea),Government of France,,Khmer Issarak,1001,,1,Cambodia,1,0,1,1946-08-31,3,1946-08-31,3,0,,,220,,,,811,3,4.0-2015,
1-16,1946,,"Albania, United Kingdom",Government of Albania,,Government of United Kingdom,200,,1,Korfu Channel,1,0,2,1946-10-22,1,1946-10-22,1,1,1946-12-31,5,339,,200,,"200, 339",1,4.0-2015,
1-17,1946,VNM,Vietnam (North Vietnam),Government of France,,Viet minh,1017,,1,Vietnam,2,1,1,1946-11-20,1,1946-11-20,1,0,,,220,,,,816,3,4.0-2015,
1-3,1946,CHN,China,Government of China,,PLA,1002,,2,,2,1,3,1946-12-31,7,1946-12-31,7,0,,,710,,,,710,3,4.0-2015,
