ISO-3166,Country Name,2008_Score,2009_Score,2010_Score,2011_Score,2012_Score,2013_Score,2014_Score,2015_Score
AFG,Afghanistan,2.983,3.341,3.36,3.277,3.375,3.415,3.371,3.427
ALB,Albania,1.911,1.905,1.897,1.927,1.972,1.952,1.872,1.821
DZA,Algeria,2.26,2.249,2.3,2.426,2.268,2.226,2.161,2.131
AGO,Angola,2.132,1.999,1.976,2.028,2.099,2.107,2.125,2.02
ARG,Argentina,1.791,1.867,1.835,1.849,1.8,1.934,1.815,1.865
ARM,Armenia,2.309,2.347,2.328,2.244,2.236,2.11,1.989,2.028
AUS,Australia,1.428,1.448,1.451,1.452,1.473,1.448,1.376,1.329
AUT,Austria,1.278,1.229,1.258,1.319,1.315,1.25,1.201,1.198
AZE,Azerbaijan,2.236,2.315,2.343,2.332,2.343,2.376,2.283,2.325
BHR,Bahrain,1.8,1.833,1.787,2.183,2.081,2.096,2.161,2.142
BGD,Bangladesh,2.118,2.087,2.122,2.124,2.156,2.124,2.055,1.997
BLR,Belarus,2.09,2.095,2.102,2.1,2.154,2.161,2.127,2.173
BEL,Belgium,1.374,1.364,1.384,1.389,1.373,1.367,1.348,1.368
BEN,Benin,2.221,2.267,2.238,2.279,2.231,2.154,2.129,1.958
BTN,Bhutan,1.468,1.773,1.797,1.769,1.572,1.491,1.443,1.416
BOL,Bolivia,1.966,2.06,2.037,2.018,2.063,2.063,1.999,2.025
BIH,Bosnia and Herzegovina,1.919,1.818,1.903,1.914,1.972,1.945,1.836,1.839
BWA,Botswana,1.662,1.655,1.639,1.684,1.623,1.607,1.697,1.597
BRA,Brazil,2.109,2.056,2.051,2.039,2.057,2.074,2.047,2.122
BGR,Bulgaria,1.714,1.735,1.727,1.694,1.688,1.688,1.57,1.607
BFA,Burkina Faso,1.915,1.854,1.819,1.774,1.851,2.039,1.961,1.994
BDI,Burundi,2.49,2.535,2.562,2.522,2.576,2.505,2.314,2.323
KHM,Cambodia,2.115,2.191,2.246,2.249,2.249,2.216,2.178,2.179
CMR,Cameroon,2.095,2.108,2.219,2.12,2.129,2.139,2.201,2.349
CAN,Canada,1.291,1.345,1.437,1.386,1.316,1.281,1.275,1.287
CAF,Central African Republic,2.763,2.66,2.732,2.765,2.826,2.922,3.225,3.332
TCD,Chad,2.836,2.886,2.957,2.667,2.607,2.418,2.5,2.429
CHL,Chile,1.489,1.506,1.63,1.73,1.597,1.588,1.576,1.563
CHN,China,2.052,2.066,2.18,2.181,2.179,2.168,2.17,2.267
COL,Colombia,2.625,2.623,2.811,2.7,2.633,2.598,2.671,2.72
COG,Congo,2.154,2.137,2.132,2.096,2.15,2.16,2.248,2.196
CRI,Costa Rica,1.594,1.626,1.616,1.725,1.719,1.779,1.765,1.654
CIV,Cote d'Ivoire,2.299,2.288,2.219,2.403,2.439,2.636,2.348,2.133
HRV,Croatia,1.712,1.707,1.637,1.629,1.581,1.547,1.541,1.55
CUB,Cuba,1.898,1.91,1.981,1.966,1.998,1.985,2.002,1.988
CYP,Cyprus,1.665,1.657,1.884,1.879,1.864,1.865,1.913,1.924
CZE,Czech Republic,1.463,1.449,1.403,1.37,1.417,1.402,1.371,1.341
COD,Democratic Republic of the Congo,2.657,2.889,2.999,2.906,2.974,2.931,3.118,3.085
DNK,Denmark,1.289,1.31,1.338,1.287,1.243,1.193,1.14,1.15
DJI,Djibouti,1.852,1.909,1.946,1.96,1.884,1.846,1.889,2.113
DOM,Dominican Republic,2.022,2.001,2.127,2.109,2.081,2.083,2.078,2.089
ECU,Ecuador,2.174,2.205,2.156,2.072,2.061,2.035,2.027,1.997
EGY,Egypt,1.989,1.908,1.862,2.042,2.234,2.256,2.573,2.382
SLV,El Salvador,2.144,2.131,2.247,2.272,2.321,2.234,2.19,2.263
GNQ,Equatorial Guinea,1.92,1.832,1.955,2.041,2.049,2.053,2.08,1.987
ERI,Eritrea,2.184,2.266,2.296,2.275,2.279,2.236,2.35,2.309
EST,Estonia,1.614,1.682,1.757,1.789,1.749,1.749,1.613,1.677
ETH,Ethiopia,2.408,2.588,2.456,2.442,2.497,2.508,2.377,2.234
FIN,Finland,1.251,1.289,1.286,1.295,1.296,1.298,1.293,1.277
FRA,France,1.705,1.74,1.686,1.734,1.774,1.848,1.748,1.742
GAB,Gabon,1.744,1.754,1.999,2.068,2.024,1.997,1.929,1.904
GMB,Gambia,1.906,1.922,1.915,1.946,2.024,2.08,2.071,2.086
GEO,Georgia,2.775,2.806,3,2.58,2.531,2.438,2.099,1.973
DEU,Germany,1.418,1.446,1.451,1.459,1.454,1.432,1.403,1.379
GHA,Ghana,1.784,1.799,1.792,1.715,1.794,1.888,1.896,1.84
GRC,Greece,1.788,1.84,1.838,1.867,1.906,1.924,2.001,1.878
GTM,Guatemala,2.186,2.184,2.189,2.318,2.311,2.242,2.229,2.215
GIN,Guinea,2.162,2.109,2.131,2.146,2.139,2.231,2.251,2.214
GNB,Guinea-Bissau,2.443,2.431,2.431,2.431,2.427,2.398,2.501,2.235
GUY,Guyana,2.047,2.088,2.161,2.127,1.997,1.947,1.99,2.029
HTI,Haiti,2.278,2.35,2.285,2.245,2.158,2.044,2.114,2.074
HND,Honduras,2.345,2.369,2.466,2.327,2.366,2.307,2.26,2.21
HUN,Hungary,1.414,1.553,1.486,1.544,1.524,1.522,1.453,1.463
ISL,Iceland,1.064,1.157,1.158,1.128,1.14,1.139,1.15,1.148
IND,India,2.362,2.43,2.571,2.595,2.553,2.446,2.447,2.504
IDN,Indonesia,1.836,1.817,1.894,1.914,1.883,1.887,1.877,1.768
IRN,Iran,2.424,2.21,2.315,2.436,2.42,2.45,2.411,2.409
IRQ,Iraq,3.277,3.409,3.549,3.372,3.234,3.198,3.322,3.444
IRL,Ireland,1.273,1.369,1.343,1.396,1.359,1.371,1.36,1.354
ISR,Israel,2.982,3.034,3.012,2.893,2.853,2.781,2.725,2.781
ITA,Italy,1.636,1.717,1.705,1.713,1.646,1.667,1.643,1.669
JAM,Jamaica,2.05,2.054,2.073,2.189,2.254,2.249,2.202,2.153
JPN,Japan,1.296,1.303,1.305,1.327,1.345,1.312,1.335,1.322
JOR,Jordan,1.82,1.824,1.838,1.798,1.858,1.86,1.832,1.944
KAZ,Kazakhstan,2.119,2.236,2.22,2.193,2.203,2.046,2.1,2.008
KEN,Kenya,2.407,2.338,2.452,2.402,2.348,2.497,2.428,2.342
KSV,Kosovo,1.981,1.981,1.981,1.981,1.968,1.981,1.938,1.938
KWT,Kuwait,1.605,1.626,1.571,1.547,1.698,1.697,1.675,1.626
KGZ,Kyrgyzstan,2.281,2.269,2.269,2.281,2.377,2.381,2.346,2.249
LAO,Laos,1.793,1.787,1.695,1.718,1.742,1.738,1.699,1.7
LVA,Latvia,1.741,1.83,1.847,1.799,1.781,1.756,1.685,1.695
LBN,Lebanon,2.684,2.648,2.595,2.62,2.477,2.576,2.618,2.623
LSO,Lesotho,1.958,1.958,1.902,1.917,1.868,1.859,1.844,1.891
LBR,Liberia,2.138,2.125,2.108,2.082,2.055,2.017,1.948,1.963
LBY,Libya,1.898,1.82,1.833,2.64,2.738,2.571,2.4,2.819
LTU,Lithuania,1.704,1.704,1.729,1.828,1.845,1.802,1.7,1.674
MKD,Macedonia,1.968,2.074,2.04,1.993,1.983,2.026,2.001,1.944
MDG,Madagascar,1.648,1.891,2.014,2.213,2.165,2.101,1.924,1.911
MWI,Malawi,1.849,1.788,1.906,1.776,1.961,1.956,1.915,1.814
MYS,Malaysia,1.537,1.569,1.544,1.466,1.554,1.538,1.542,1.561
MLI,Mali,2.143,2.126,2.198,2.119,2.097,2.148,2.222,2.31
MRT,Mauritania,2.213,2.335,2.287,2.332,2.308,2.203,2.259,2.262
MUS,Mauritius,1.553,1.57,1.575,1.58,1.573,1.496,1.49,1.503
MEX,Mexico,2.084,2.166,2.165,2.299,2.494,2.5,2.546,2.53
MDA,Moldova,2.085,2.035,2.081,2.032,2.063,2,1.928,1.942
MNG,Mongolia,2.127,2.128,2.119,1.893,1.93,1.906,1.716,1.706
MNE,Montenegro,1.99,2.018,2.036,2.059,2.003,1.946,1.858,1.854
MAR,Morocco,1.878,1.913,1.89,1.899,1.945,1.931,1.967,2.002
MOZ,Mozambique,1.724,1.76,1.791,1.851,1.858,1.921,1.983,1.976
MMR,Myanmar,2.35,2.321,2.441,2.339,2.342,2.313,2.238,2.323
NAM,Namibia,1.844,1.868,1.934,1.864,1.822,1.801,1.784,1.784
NPL,Nepal,1.903,1.942,2.058,2.144,2.009,2.014,1.96,1.882
NLD,Netherlands,1.54,1.612,1.635,1.605,1.542,1.494,1.467,1.432
NZL,New Zealand,1.196,1.232,1.201,1.223,1.226,1.227,1.221,1.221
NIC,Nicaragua,1.904,1.916,1.945,1.96,2.022,1.929,1.898,1.947
NER,Niger,2.325,2.274,2.27,2.223,2.203,2.139,2.106,2.32
NGA,Nigeria,2.516,2.516,2.574,2.542,2.651,2.657,2.78,2.91
PRK,North Korea,2.772,2.799,2.925,3.093,2.977,3.008,3.019,2.977
