ISO-3166,Country Name,2002_Score,2003_Score,2004_Score,2005_Score,2006_Score,2007_Score,2008_Score,2009_Score,2010_Score,2011_Score,2012_Score,2013_Score,2014_Score
AFG,Afghanistan,5.697,6.064,6.375,6.769,7.306,7.692,8.011,8.246,8.238,8.29,8.735,8.995,9.233
AGO,Angola,6.353,5.67,4.998,4.236,1.442,0,0,1.929,2.661,2.026,1.349,0.686,0.243
ALB,Albania,1.758,1.029,0.344,0.124,0.019,0.01,0,1.187,0.549,0.267,0.134,0.22,2.116
ARE,United Arab Emirates,0,0,0,0,0,0,0,0,1.122,0.496,0.248,0.277,1.045
ARG,Argentina,1.554,1.703,1.033,2.27,1.574,0.918,0.363,1.341,2.808,2.15,2.077,2.356,1.674
ARM,Armenia,1.96,1.268,0.42,0.124,0,1.187,0.549,1.833,1.17,0.536,0.229,0.344,0.115
AUS,Australia,0.229,0.038,0.019,0.01,0.153,0.076,2.15,2.122,2.017,1.333,0.672,0.22,3.114
AUT,Austria,0.01,0,0,0,1.446,1.66,3.017,3.161,2.525,2.215,1.554,1.682,2.088
AZE,Azerbaijan,2.53,1.857,1.191,0.536,0.091,1.187,2.928,2.728,2.082,1.43,0.707,0.134,1.381
BDI,Burundi,5.614,5.54,5.006,4.553,4.43,3.798,4.351,3.671,4.311,4.664,4.208,3.848,3.342
BEL,Belgium,1.684,2.339,1.66,1.025,0.439,1.333,0.549,1.602,0.959,0.41,1.67,1.033,1.977
BEN,Benin,0,0,0,0,0,0.458,0.229,0.115,0.057,0.029,0,0,0
BFA,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0.659,0.305
BGD,Bangladesh,5.337,4.758,5.034,5.507,5.253,4.672,4.509,4.556,4.62,4.205,4.097,5.473,5.921
BGR,Bulgaria,2.349,1.665,0.987,0.296,0.115,0,1.446,0.768,0.344,1.462,3.093,2.754,2.421
BHR,Bahrain,0,1.187,0.549,0.267,0.134,0.067,0.877,0.382,1.478,1.823,3.686,4.673,4.871
BIH,Bosnia and Herzegovina,2.765,2.331,1.617,0.85,0.449,0.296,3.001,2.314,2.475,1.905,1.227,1.478,1.516
BLR,Belarus,0.549,0.267,0.134,0.067,0,0,2.455,1.775,2.207,4.031,3.484,2.778,2.125
BOL,Bolivia,0,1.187,0.549,0.42,0.21,1.751,1.073,2.622,1.986,1.3,1,0.425,0.076
BRA,Brazil,1.919,1.316,0.631,0.286,2.692,2.04,1.365,0.7,0.32,0,0.659,1.622,2.207
BTN,Bhutan,0,0,0,0,1.775,1.122,2.761,2.111,1.47,1.713,1.069,0.305,0.305
BWA,Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0
CAF,Central African Republic,0,0,0,0,0,0.659,1.929,4.223,4.781,4.311,3.843,5.083,6.721
CAN,Canada,1.454,0.645,1.612,0.768,2.015,1.333,2.529,3.001,2.604,1.929,1.506,1.929,2.297
CHE,Switzerland,1.655,1.737,1.057,0.334,0.134,1.438,0.713,0.324,0.162,1.586,0.877,2.026,1.349
CHL,Chile,1.162,2.057,1.389,0.672,0.496,3.125,3.2,3.54,3.484,3.22,2.906,3.172,3.969
CHN,China,3.215,2.87,2.701,2.037,2.15,1.474,4.16,5.584,5.028,4.701,4.623,5.082,6.294
CIV,Cote d'Ivoire,2.701,2.06,2.998,4.303,3.989,3.425,2.749,2.049,3.113,3.285,4.003,3.798,3.141
CMR,Cameroon,0.048,0,0,0,0,0,2.094,2.094,2.741,2.661,2.026,1.521,6.466
COD,Democratic Republic of the Congo,4.175,4.816,4.58,4.41,4.355,4.905,6.088,7.112,6.657,6.142,5.903,5.754,6.487
COG,Republic of the Congo,3.719,3.64,2.898,2.226,1.578,0.401,0,0,0,0,0,1.506,0.823
COL,Colombia,7.156,6.971,6.512,6.258,5.95,5.581,6.248,6.599,6.544,6.323,6.499,6.444,6.662
CRI,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0
CUB,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0
CYP,Cyprus,0.487,0.2,1.268,0.618,0.267,1.041,0.449,0.191,0.095,0.048,0.153,3.186,3.08
CZE,Czech Republic,0.549,0.42,0.21,0.105,0.019,0.01,1.698,2.049,1.381,0.932,0.401,0.864,2.484
DEU,Germany,3.008,2.335,2.444,2.551,2.354,2.311,2.337,2.719,2.097,2.262,2.478,1.766,3.442
DJI,Djibouti,0,0,1.583,0.932,0.401,0.2,0.1,0,0,0,0,0,2.567
DNK,Denmark,0,0,0,0,0,0,0.305,0.153,0.305,0.153,0.076,0.181,0.091
DOM,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,1.187,2.581
DZA,Algeria,7.232,6.965,6.6,6.434,6.418,6.584,6.556,6.46,6.15,5.573,5.304,5.385,4.75
ECU,Ecuador,2.509,3.02,2.825,2.15,1.377,0.686,1.737,1.756,1.106,1.559,1.069,1.276,0.577
EGY,Egypt,0.453,0.043,4.41,5.145,4.902,4.23,3.593,3.333,2.754,4.573,4.875,6.338,6.813
ERI,Eritrea,0,0,0,0,0,1.187,2.54,2.667,3.586,3.69,3.047,2.345,1.636
ESP,Spain,5.616,5.214,6.522,6.017,5.577,5.016,5.106,4.865,4.304,3.598,2.946,2.734,2.622
EST,Estonia,0.134,0.067,0,0,0,0,0,0,0,0.659,0.305,0.153,0.076
ETH,Ethiopia,2.314,2.606,2.524,3.598,4.176,5.11,4.937,4.516,4.132,3.565,3.945,3.629,3.544
FIN,Finland,0,0,0,0,0,0,1.251,0.604,0.286,0.143,0.072,0,0
FRA,France,4.622,4.766,4.37,4.774,4.898,4.605,4.149,4.04,3.595,3.379,5.406,4.884,4.553
GAB,Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0
GBR,United Kingdom,5.053,4.725,4.193,5.676,5.059,4.787,4.862,4.688,4.833,4.838,4.791,5.451,5.613
GEO,Georgia,3.137,3.246,2.86,3.396,2.921,2.211,4.598,4.832,4.415,3.93,3.458,2.949,2.373
GHA,Ghana,0,0,0,0,0,0,0,0,0,0,0,0,1.381
GIN,Guinea,4.217,3.573,2.918,0,0,0,0,0,0,0,0,1.852,1.187
GMB,"Gambia, The",0.382,0.191,0.095,0,0,0,0,0,0,0,0,0,0
GNB,Guinea-Bissau,0.076,0.038,0.019,2.97,3.356,2.691,2.051,2.208,1.43,0.458,0.987,0.42,0.153
GNQ,Equatorial Guinea,0,0,0,0,0,0,0,1.814,1.154,0.522,0.258,0.129,0
GRC,Greece,4.382,4.058,3.544,3.434,4.174,3.897,5.091,5.912,5.64,5.115,4.916,5.235,4.976
GTM,Guatemala,1.602,2.524,2.382,1.696,2.39,1.72,0.973,0.363,0.181,0,1.814,2.641,2.009
GUY,Guyana,0.994,0.344,0.172,0.086,0.659,0.305,2.942,2.263,1.612,0.946,0.406,0,0
HND,Honduras,0.153,0.076,3.694,3.054,2.39,1.718,1.073,3.076,2.421,2.438,1.761,2.338,2.077
HRV,Croatia,1.833,1.17,0.536,0.382,0.115,0.057,2.012,1.328,0.659,0.305,0.153,0.229,0.115
HTI,Haiti,2.438,3.132,3.526,2.825,2.145,2.222,1.462,0.439,0.22,0.11,0,0,0
HUN,Hungary,0.067,0,0,0,0,0,2.003,2.32,1.66,1.025,0.439,0.143,1.187
IDN,Indonesia,6.554,6.1,5.796,5.634,5.004,4.17,3.918,4.533,4.074,4.511,4.773,4.776,4.755
IND,India,7.432,7.405,7.221,7.255,7.566,7.542,7.808,8.064,8.089,7.952,7.72,7.701,7.747
IRL,Ireland,0.086,0.162,0.076,0.038,1.554,0.891,2.252,1.602,2.269,2.167,3.065,3.176,3.663
IRN,Iran,2.766,2.616,1.898,4.168,4.664,4.555,4.887,5.423,5.832,5.319,4.779,4.661,4.222
IRQ,Iraq,4.094,6.562,8.03,8.653,9.102,9.451,9.327,9.327,9.244,9.132,9.11,9.594,10
ISL,Iceland,0,0,0,0,0,0,0,0,0,0,0.153,0.076,1.219
ISR,Israel,6.863,6.663,6.287,6.055,5.887,5.479,5.881,5.471,4.982,5.304,5.305,4.916,6.034
ITA,Italy,3.146,3.707,3.338,3.405,2.987,2.27,1.982,2.106,2.993,2.404,3.114,2.881,3.364
JAM,Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0.229
JOR,Jordan,2.514,1.83,1.134,4.634,4.001,3.305,2.647,2.015,1.187,0.549,1.91,1.958,1.751
JPN,Japan,2.516,2.255,1.588,0.809,0.248,0.076,2.003,2.049,1.381,0.713,0.324,0.086,0
KAZ,Kazakhstan,0.382,0.191,0.095,0.014,0,0,1.316,0.659,0.305,2.821,3.052,2.547,1.881
KEN,Kenya,4.632,3.199,2.558,4.284,4.069,4.503,4.944,4.315,4.706,5.133,5.913,6.298,6.66
KGZ,Kygyz Republic,2.441,1.763,1.016,2.026,1.931,1.187,0.549,0.267,1.655,1.122,0.496,0.248,1.722
KHM,Cambodia,3.496,2.811,2.123,1.239,0.224,0.038,1.057,0.458,0.229,0.115,0.057,0.305,0.153
KOR,South Korea,0.153,2.621,1.986,1.3,0.959,0.41,0.057,0.029,0.014,0,0,0,0
KSV,Kosovo,4.444,4.112,3.358,3.598,3.513,3.33,3.668,3.047,2.631,2.26,2.727,3.206,3.018
KWT,Kuwait,0.344,1.785,1.13,2.061,1.381,0.713,0.267,0.134,0,0.153,0.076,0.038,0.019
LAO,Laos,2.111,1.559,0.898,0.091,0.019,0.01,0,0,0,0,0.153,0.076,0.038
LBN,Lebanon,3.77,3.56,3.06,4.4,4.012,4.869,5.88,5.471,4.88,4.581,4.479,6.206,6.376
LBR,Liberia,3.013,2.614,1.972,1.235,0.42,0.076,0,0,0,0,0.153,0.076,1.219
LBY,Libya,0,0,0,0,0,0.153,0.229,0.115,0.057,0.487,4.871,6.324,7.29
