,ISO-3166,Country,Date of Admission to UN,Score,PeaceIndex2015,TerrorismIndex,ActiveInsurgency,InactiveInsurgency
0,AFG,Afghanistan,19-11-1946,70.577,3.427,9.23,21,0
1,ALB,Albania,14-12-1955,12.421,1.821,2.12,0,0
2,DZA,Algeria,08-10-1962,46.881,2.131,4.75,21,0
4,AGO,Angola,01-12-1976,3.22,2.02,0.24,0,0
6,ARG,Argentina,24-10-1945,10.215,1.865,1.67,0,0
7,ARM,Armenia,02-03-1992,2.628,2.028,0.12,0,0
8,AUS,Australia,01-11-1945,16.879,1.329,3.11,0,0
9,AUT,Austria,14-12-1955,11.648,1.198,2.09,0,0
10,AZE,Azerbaijan,02-03-1992,9.225,2.325,1.38,0,0
12,BHR,Bahrain,21-09-1971,26.492,2.142,4.87,0,0
13,BGD,Bangladesh,17-09-1974,52.597,1.997,5.92,21,0
15,BLR,Belarus,24-10-1945,12.823,2.173,2.13,0,0
16,BEL,Belgium,27-12-1945,11.268,1.368,1.98,0,0
18,BEN,Benin,20-09-1960,1.958,1.958,0,0,0
19,BTN,Bhutan,21-09-1971,2.966,1.416,0.31,0,0
20,BOL,Bolivia (Plurinational State of),14-11-1945,2.425,2.025,0.08,0,0
21,BIH,Bosnia and Herzegovina,22-05-1992,9.439,1.839,1.52,0,0
22,BWA,Botswana,17-10-1966,1.597,1.597,0,0,0
23,BRA,Brazil,24-10-1945,13.172,2.122,2.21,0,0
25,BGR,Bulgaria,14-12-1955,13.707,1.607,2.42,0,0
26,BFA,Burkina Faso,20-09-1960,3.544,1.994,0.31,0,0
27,BDI,Burundi,18-09-1962,19.023,2.323,3.34,0,0
29,KHM,Cambodia,14-12-1955,2.929,2.179,0.15,0,0
30,CMR,Cameroon,20-09-1960,34.699,2.349,6.47,0,0
31,CAN,Canada,09-11-1945,12.787,1.287,2.3,0,0
32,CAF,Central African Republic,20-09-1960,36.932,3.332,6.72,0,0
33,TCD,Chad,20-09-1960,34.129,2.429,2.14,21,0
34,CHL,Chile,24-10-1945,21.413,1.563,3.97,0,0
35,CHN,China,24-10-1945,54.717,2.267,6.29,21,0
36,COL,Colombia,05-11-1945,36.02,2.72,6.66,0,0
38,COG,Congo,20-09-1960,6.296,2.196,0.82,0,0
39,CRI,Costa Rica,02-11-1945,1.654,1.654,0,0,0
40,CIV,Cote D'Ivoire,20-09-1960,38.833,2.133,3.14,21,0
41,HVR,Croatia,22-05-1992,2.15,1.55,0.12,0,0
42,CUB,Cuba,24-10-1945,1.988,1.988,0,0,0
43,CYP,Cyprus,20-09-1960,17.324,1.924,3.08,0,0
44,CZE,Czech Republic,19-01-1993,13.741,1.341,2.48,0,0
45,PRK,Democratic People's Republic of Korea,17-09-1991,2.977,2.977,0,0,0
46,COD,Democratic Republic of the Congo,20-09-1960,56.535,3.085,6.49,21,0
47,DNK,Denmark,24-10-1945,1.6,1.15,0.09,0,0
48,DJI,Djibouti,20-09-1977,14.963,2.113,2.57,0,0
50,DOM,Dominican Republic,24-10-1945,14.989,2.089,2.58,0,0
51,ECU,Ecuador,21-12-1945,4.897,1.997,0.58,0,0
52,EGY,Egypt,24-10-1945,36.432,2.382,6.81,0,0
53,SLV,El Salvador,24-10-1945,2.263,2.263,0,0,0
54,GNQ,Equatorial Guinea,12-11-1968,1.987,1.987,0,0,0
55,ERI,Eritrea,28-05-1993,10.509,2.309,1.64,0,0
56,EST,Estonia,17-09-1991,2.077,1.677,0.08,0,0
57,ETH,Ethiopia,13-11-1945,19.934,2.234,3.54,0,0
59,FIN,Finland,14-12-1955,1.277,1.277,0,0,0
60,FRA,France,24-10-1945,24.492,1.742,4.55,0,0
61,GAB,Gabon,20-09-1960,1.904,1.904,0,0,0
62,GMB,Gambia,21-09-1965,2.086,2.086,0,0,0
63,GEO,Georgia,31-07-1992,13.823,1.973,2.37,0,0
64,DEU,Germany,18-09-1973,18.579,1.379,3.44,0,0
65,GHA,Ghana,08-03-1957,8.74,1.84,1.38,0,0
66,GRC,Greece,25-10-1945,47.778,1.878,4.98,21,0
68,GTM,Guatemala,21-11-1945,12.265,2.215,2.01,0,0
69,GIN,Guinea,12-12-1958,8.164,2.214,1.19,0,0
70,GNB,Guinea Bissau,17-09-1974,2.985,2.235,0.15,0,0
71,GUY,Guyana,20-09-1966,2.029,2.029,0,0,0
72,HTI,Haiti,24-10-1945,2.074,2.074,0,0,0
73,HND,Honduras,17-12-1945,12.61,2.21,2.08,0,0
74,HUN,Hungary,14-12-1955,7.413,1.463,1.19,0,0
75,ISL,Iceland,19-11-1946,7.248,1.148,1.22,0,0
76,IND,India,30-10-1945,41.254,2.504,7.75,0,0
77,IDN,Indonesia,28-09-1950,46.568,1.768,4.76,21,0
78,IRN,Iran (Islamic Republic of),24-10-1945,44.509,2.409,4.22,21,0
79,IRQ,Iraq,21-12-1945,75.444,3.444,10,22,0
80,IRL,Ireland,14-12-1955,40.654,1.354,3.66,21,0
81,ISR,Israel,11-05-1949,65.931,2.781,6.03,21,12
82,ITA,Italy,14-12-1955,18.469,1.669,3.36,0,0
83,JAM,Jamaica,18-09-1962,3.303,2.153,0.23,0,0
84,JPN,Japan,18-12-1956,1.322,1.322,0,0,0
85,JOR,Jordan,14-12-1955,10.694,1.944,1.75,0,0
86,KAZ,Kazakhstan,02-03-1992,11.408,2.008,1.88,0,0
87,KEN,Kenya,16-12-1963,56.642,2.342,6.66,21,0
89,KWT,Kuwait,14-05-1963,1.726,1.626,0.02,0,0
90,KGZ,Kyrgyzstan,02-03-1992,10.849,2.249,1.72,0,0
91,LAO,Lao PeopleÍs Democratic Republic,14-12-1955,1.9,1.7,0.04,0,0
92,LVA,Latvia,17-09-1991,1.695,1.695,0,0,0
93,LBN,Lebanon,24-10-1945,55.523,2.623,6.38,21,0
94,LSO,Lesotho,17-10-1966,1.891,1.891,0,0,0
95,LBR,Liberia,02-11-1945,8.063,1.963,1.22,0,0
96,LBY,Libya,14-12-1955,71.269,2.819,7.29,21,11
98,LTU,Lithuania,17-09-1991,1.674,1.674,0,0,0
100,MDG,Madagascar,20-09-1960,14.111,1.911,2.44,0,0
101,MWI,Malawi,01-12-1964,1.814,1.814,0,0,0
102,MYS,Malaysia,17-09-1957,19.461,1.561,3.58,0,0
104,MLI,Mali,28-09-1960,64.66,2.31,5.87,22,11
107,MRT,Mauritania,27-10-1961,3.812,2.262,0.31,0,0
108,MUS,Mauritius,24-04-1968,1.503,1.503,0,0,0
109,MEX,Mexico,07-11-1945,44.48,2.53,3.99,22,0
112,MNG,Mongolia,27-10-1961,1.706,1.706,0,0,0
113,MNE,Montenegro,28-06-2006,5.154,1.854,0.66,0,0
114,MAR,Morocco,12-11-1956,31.252,2.002,1.45,22,0
115,MOZ,Mozambique,16-09-1975,23.926,1.976,4.39,0,0
116,MMR,Myanmar,19-04-1948,22.723,2.323,4.08,0,0
117,NAM,Namibia,23-04-1990,1.784,1.784,0,0,0
119,NPL,Nepal,14-12-1955,25.832,1.882,4.79,0,0
120,NLD,Netherlands,10-12-1945,3.582,1.432,0.43,0,0
121,NZL,New Zealand,24-10-1945,7.171,1.221,1.19,0,0
122,NIC,Nicaragua,24-10-1945,16.597,1.947,2.93,0,0
123,NER,Niger,20-09-1960,19.77,2.32,3.49,0,0
124,NGA,Nigeria,07-10-1960,69.96,2.91,9.21,21,0
125,NOR,Norway,27-11-1945,15.093,1.393,2.74,0,0
126,OMAN,Oman,07-10-1971,1.947,1.947,0,0,0
127,PAK,Pakistan,30-09-1947,71.399,3.049,9.07,23,0
129,PAN,Panama,13-11-1945,1.903,1.903,0,0,0
130,PNG,Papua New Guinea,10-10-1975,2.064,2.064,0,0,0
131,PRY,Paraguay,24-10-1945,22.473,2.023,4.09,0,0
132,PER,Peru,31-10-1945,18.629,2.029,3.32,0,0
133,PHL,Philippines,24-10-1945,59.812,2.462,7.27,21,0
134,POL,Poland,24-10-1945,1.43,1.43,0,0,0
135,PRT,Portugal,14-12-1955,2.694,1.344,0.27,0,0
136,QAT,Qatar,21-09-1971,1.568,1.568,0,0,0
137,KOR,Republic of Korea,17-09-1991,1.701,1.701,0,0,0
138,MDA,Republic of Moldova,02-03-1992,2.142,1.942,0.04,0,0
139,ROU,Romania,14-12-1955,1.542,1.542,0,0,0
140,RUS,Russian Federation,24-10-1945,55.004,2.954,6.21,21,0
141,RWA,Rwanda,18-09-1962,40.07,2.42,3.33,21,0
148,SAU,Saudi Arabia,24-10-1945,22.092,2.042,4.01,0,0
149,SEN,Senegal,28-09-1960,19.155,1.805,3.47,0,0
150,SRB,Serbia,01-11-2000,3.818,1.768,0.41,0,0
152,SLE,Sierra Leone,27-09-1961,1.864,1.864,0,0,0
153,SGP,Singapore,21-09-1965,1.49,1.49,0,0,0
154,SVK,Slovakia,19-01-1993,1.478,1.478,0,0,0
155,SVN,Slovenia,22-05-1992,1.378,1.378,0,0,0
157,SOM,Somalia,20-09-1960,62.307,3.307,7.6,21,0
159,SSD,South _Sudan,14-07-2011,36.933,3.383,6.71,0,0
158,ZAF,South Africa,07-11-1945,23.526,2.376,4.23,0,0
