,countrycode,observed,count,environment,political,social,economic,security
0,AFG,1,3,1,1,0,0,1
1,AGO,0,1,1,0,0,0,0
2,ALB,0,1,1,0,0,0,0
3,ARB,0,1,0,0,1,0,0
4,ARE,0,0,0,0,0,0,0
5,ARM,0,1,1,0,0,0,0
6,ATG,0,0,0,0,0,0,0
7,AUS,0,0,0,0,0,0,0
8,AUT,0,0,0,0,0,0,0
9,AZE,0,0,0,0,0,0,0
10,BDI,1,2,1,1,0,0,0
11,BEL,0,0,0,0,0,0,0
12,BEN,0,0,0,0,0,0,0
13,BFA,0,0,0,0,0,0,0
14,BGD,0,0,0,0,0,0,0
15,BGR,0,0,0,0,0,0,0
16,BHR,0,1,0,0,0,0,1
17,BHS,0,0,0,0,0,0,0
18,BIH,1,2,1,1,0,0,0
19,BLR,0,0,0,0,0,0,0
20,BLZ,0,0,0,0,0,0,0
21,BOL,0,0,0,0,0,0,0
22,BRA,0,0,0,0,0,0,0
23,BRB,0,0,0,0,0,0,0
24,BTN,1,2,1,1,0,0,0
25,BWA,0,0,0,0,0,0,0
26,CAF,1,1,1,0,0,0,0
27,CAN,0,0,0,0,0,0,0
28,CEB,0,0,0,0,0,0,0
29,CHE,0,0,0,0,0,0,0
30,CHL,0,0,0,0,0,0,0
31,CHN,0,1,0,0,1,0,0
32,CIV,0,0,0,0,0,0,0
33,CMR,0,1,0,1,0,0,0
34,COG,0,1,1,0,0,0,0
35,COL,1,3,1,1,0,0,1
36,COM,0,0,0,0,0,0,0
37,CPV,0,0,0,0,0,0,0
38,CRI,0,0,0,0,0,0,0
39,CSS,0,0,0,0,0,0,0
40,CUB,0,0,0,0,0,0,0
41,CYP,0,0,0,0,0,0,0
42,CZE,0,0,0,0,0,0,0
43,DEU,0,0,0,0,0,0,0
44,DJI,0,0,0,0,0,0,0
45,DNK,0,0,0,0,0,0,0
46,DOM,0,0,0,0,0,0,0
47,DZA,0,0,0,0,0,0,0
48,EAP,0,1,0,0,1,0,0
49,EAS,0,1,0,0,1,0,0
50,ECA,0,0,0,0,0,0,0
51,ECS,0,1,0,0,1,0,0
52,ECU,0,0,0,0,0,0,0
53,EGY,0,0,0,0,0,0,0
54,EMU,0,1,0,0,1,0,0
55,ERI,1,2,1,1,0,0,0
56,ESP,0,0,0,0,0,0,0
57,EST,0,0,0,0,0,0,0
58,ETH,0,1,0,0,0,0,1
59,EUU,0,1,0,0,1,0,0
60,FCS,0,1,0,0,1,0,0
61,FIN,0,0,0,0,0,0,0
62,FJI,0,0,0,0,0,0,0
63,FRA,0,0,0,0,0,0,0
64,GAB,0,0,0,0,0,0,0
65,GBR,0,0,0,0,0,0,0
66,GEO,0,1,0,0,0,0,1
67,GHA,0,0,0,0,0,0,0
68,GIN,0,1,0,0,0,0,1
69,GMB,0,0,0,0,0,0,0
70,GNB,0,0,0,0,0,0,0
71,GNQ,0,0,0,0,0,0,0
72,GRC,0,0,0,0,0,0,0
73,GRD,0,0,0,0,0,0,0
74,GTM,0,0,0,0,0,0,0
75,GUY,0,0,0,0,0,0,0
76,HIC,0,1,0,0,1,0,0
77,HND,0,1,0,0,0,0,1
78,HPC,0,2,0,0,1,1,0
79,HRV,1,2,1,1,0,0,0
80,HTI,0,0,0,0,0,0,0
81,HUN,0,0,0,0,0,0,0
82,IDN,0,0,0,0,0,0,0
83,IND,0,1,0,0,1,0,0
84,IRL,0,1,1,0,0,0,0
85,IRN,0,0,0,0,0,0,0
86,IRQ,1,2,0,1,0,0,1
87,ISL,0,0,0,0,0,0,0
88,ISR,0,0,0,0,0,0,0
89,ITA,0,0,0,0,0,0,0
90,JAM,0,0,0,0,0,0,0
91,JOR,0,0,0,0,0,0,0
92,JPN,0,0,0,0,0,0,0
93,KAZ,0,1,0,0,0,0,1
94,KEN,0,0,0,0,0,0,0
95,KGZ,0,0,0,0,0,0,0
96,KHM,0,0,0,0,0,0,0
97,KIR,0,0,0,0,0,0,0
98,KOR,0,0,0,0,0,0,0
99,KWT,0,0,0,0,0,0,0
100,LAC,0,1,0,0,1,0,0
101,LAO,0,0,0,0,0,0,0
102,LBN,0,1,0,0,0,0,1
103,LBR,0,2,1,0,0,1,0
104,LBY,0,1,0,0,0,0,1
105,LCA,0,0,0,0,0,0,0
106,LCN,0,1,0,0,1,0,0
107,LDC,0,1,0,0,1,0,0
108,LIC,0,2,0,0,1,1,0
109,LKA,1,1,1,0,0,0,0
110,LMC,0,1,0,0,1,0,0
111,LMY,0,1,0,0,1,0,0
112,LSO,0,0,0,0,0,0,0
113,LTU,0,1,1,0,0,0,0
114,LUX,0,1,1,0,0,0,0
115,LVA,0,0,0,0,0,0,0
116,MAR,0,0,0,0,0,0,0
117,MDA,0,1,0,0,0,1,0
118,MDG,0,0,0,0,0,0,0
119,MDV,0,0,0,0,0,0,0
120,MEA,0,1,0,0,1,0,0
121,MEX,0,0,0,0,0,0,0
122,MIC,0,1,0,0,1,0,0
123,MKD,0,1,1,0,0,0,0
124,MLI,1,0,0,0,0,0,0
125,MLT,0,0,0,0,0,0,0
126,MMR,1,2,1,0,0,0,1
127,MNA,0,1,0,0,1,0,0
128,MNE,0,1,0,1,0,0,0
129,MNG,0,0,0,0,0,0,0
130,MOZ,0,0,0,0,0,0,0
131,MRT,1,2,1,1,0,0,0
132,MUS,0,0,0,0,0,0,0
133,MWI,0,1,0,0,0,0,1
134,MYS,0,0,0,0,0,0,0
135,NAC,0,1,0,0,1,0,0
136,NAM,0,0,0,0,0,0,0
137,NER,0,0,0,0,0,0,0
138,NGA,0,0,0,0,0,0,0
139,NIC,0,0,0,0,0,0,0
